Model,language,BelebeleRetrieval,Recall_at_10,MRR
text-embedding-3-small,italian,92.47553848589482,96.55555555555554,91.15114638447972
text-embedding-3-small,japanese,89.04573971325613,96.88888888888889,86.52601410934744
text-embedding-3-small,hindi,58.658553640464284,70.66666666666667,54.88787477954145
text-embedding-3-large,italian,94.54878990632956,98.33333333333333,93.29250440917107
text-embedding-3-large,japanese,92.93181945248111,98.11111111111111,91.21300705467371
text-embedding-3-large,hindi,76.71173327744441,87.0,73.40987654320988
embed-multilingual-v3.0,italian,94.81041185569899,98.66666666666667,93.56626984126983
embed-multilingual-v3.0,japanese,93.59834285760455,98.22222222222223,92.05970017636683
embed-multilingual-v3.0,hindi,90.5113030275859,95.88888888888889,88.76388888888889
gemini-embedding-2,italian,96.23625221364753,98.88888888888889,95.37605820105821
gemini-embedding-2,japanese,95.40927537607108,98.55555555555556,94.37094356261022
gemini-embedding-2,hindi,94.36283706100072,97.66666666666667,93.25427689594356
