model_id,short_name,params_numeric,tier,dataset,query_type,ndcg_at_10,recall_at_10,mrr
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_finance,factual,94.22,100.0,92.29
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_finance,multi_hop,94.96,99.4,93.47
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_finance,summarization,95.29,100.0,93.76
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_finance,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_law,factual,26.25,39.08,22.33
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_law,multi_hop,26.73,43.35,21.76
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_law,summarization,26.33,42.27,21.43
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,ja_law,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_finance,factual,69.02,73.99,67.47
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_finance,multi_hop,81.25,82.52,80.83
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_finance,summarization,98.49,100.0,97.96
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_finance,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_law,factual,68.05,83.04,63.32
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_law,multi_hop,54.86,72.56,49.35
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_law,summarization,51.94,69.66,46.42
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_law,unanswerable,0.0,0.0,0.0
