model_id,short_name,params_numeric,dim,tier,dataset,ndcg_at_10,recall_at_10,mrr,source
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,ja_finance,94.72,99.76,93.03,own_eval
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,ja_law,26.46,41.44,21.91,own_eval
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,hi_finance,77.34,80.62,76.3,own_eval
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,hi_law,59.57,76.18,54.37,own_eval
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,ja_finance,95.89,100.0,94.52,own_eval
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,ja_law,28.62,43.02,24.19,own_eval
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,hi_finance,81.26,84.92,80.05,own_eval
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,hi_law,61.73,78.54,56.43,own_eval
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,ja_finance,96.94,99.76,95.98,own_eval
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,ja_law,27.37,41.89,22.89,own_eval
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,hi_finance,78.47,82.77,77.07,own_eval
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,hi_law,62.81,78.07,58.07,own_eval
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,ja_finance,92.52,99.29,90.27,own_eval
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,ja_law,23.42,38.06,18.9,own_eval
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,hi_finance,73.03,79.08,71.12,own_eval
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,hi_law,44.75,58.49,40.44,own_eval
BAAI/bge-m3,bge-m3,568000000,1024,medium,ja_finance,93.04,99.76,90.8,own_eval
BAAI/bge-m3,bge-m3,568000000,1024,medium,ja_law,23.41,35.59,19.66,own_eval
BAAI/bge-m3,bge-m3,568000000,1024,medium,hi_finance,78.13,83.08,76.58,own_eval
BAAI/bge-m3,bge-m3,568000000,1024,medium,hi_law,61.06,76.89,56.08,own_eval
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,ja_finance,62.7,81.99,56.58,own_eval
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,ja_law,9.4,15.77,7.49,own_eval
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,hi_finance,19.44,28.31,16.71,own_eval
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,hi_law,17.11,27.36,14.03,own_eval
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,ja_finance,75.01,91.0,69.92,own_eval
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,ja_law,7.41,14.64,5.21,own_eval
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,hi_finance,48.92,63.08,44.38,own_eval
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,hi_law,13.07,20.99,10.63,own_eval
