language,lang_name,n_models,n_tasks,tau,p,p_fdr,fdr_reject,inversion_rate,n_tasks_candidates,n_tasks_meta,consensus_tasks
jpn,Japanese,21,2,0.5333333333333333,0.00047510411899082485,0.00047510411899082485,True,0.23333333333333334,2,2,AmazonCounterfactualClassification;MassiveIntentClassification
kor,Korean,22,2,0.5497835497835497,0.00019663282712487727,0.000216296109837365,True,0.22510822510822512,2,2,KorSarcasmClassification;MassiveIntentClassification
swa,Swahili,22,4,0.5930735930735931,4.7784020793807914e-05,5.840269208132078e-05,True,0.20346320346320346,4,4,AfriSentiClassification;MasakhaNEWSClassification;MassiveIntentClassification;SwahiliNewsClassification
hin,Hindi,22,3,0.6103896103896104,2.5828166394673353e-05,3.5513728792675856e-05,True,0.19480519480519481,3,3,MassiveIntentClassification;MultiHateClassification;SentimentAnalysisHindi
ind,Indonesian,22,3,0.6190476190476191,1.87716508464303e-05,2.9498308472961897e-05,True,0.19047619047619047,3,3,IndonesianIdClickbaitClassification;MassiveIntentClassification;NusaX-senti
ita,Italian,22,4,0.6883116883116883,1.0666592029055455e-06,1.9555418719935003e-06,True,0.15584415584415584,4,4,ItaCaseholdClassification;MassiveIntentClassification;MultiHateClassification;SwissJudgementClassification
zho,Chinese,22,2,0.6969696969696969,7.127533877138262e-07,1.5680574529704176e-06,True,0.15151515151515152,2,2,MassiveIntentClassification;MultiHateClassification
fra,French,22,4,0.7662337662337663,1.7950735147639608e-08,4.936452165600892e-08,True,0.11688311688311688,4,4,MasakhaNEWSClassification;MassiveIntentClassification;MultiHateClassification;SwissJudgementClassification
deu,German,22,4,0.774891774891775,1.0594496358755147e-08,3.884648664876888e-08,True,0.11255411255411256,4,4,AmazonCounterfactualClassification;MassiveIntentClassification;MultiHateClassification;SwissJudgementClassification
ara,Arabic,22,2,0.774891774891775,1.0594496358755147e-08,3.884648664876888e-08,True,0.11255411255411256,2,2,MassiveIntentClassification;MultiHateClassification
spa,Spanish,22,3,0.8181818181818182,5.687023703035138e-10,6.2557260733386514e-09,True,0.09090909090909091,3,3,CataloniaTweetClassification;MassiveIntentClassification;MultiHateClassification
