category,coverage_threshold,n_models_roster,n_langs,median_inversion,median_tau
Classification,0.7,55,11,0.103424178895877,0.793151642208246
Classification,0.8,54,11,0.10159651669085631,0.7968069666182874
Classification,0.9,54,11,0.10159651669085631,0.7968069666182874
Classification,1.0,51,11,0.10196078431372549,0.7960784313725492
STS,0.7,54,8,0.10668187610473959,0.7866362477905209
STS,0.8,53,8,0.10215686274509804,0.7956862745098041
STS,0.9,53,8,0.10215686274509804,0.7956862745098041
STS,1.0,52,8,0.10256410256410256,0.7948717948717949
Reranking,0.7,56,0,,
Reranking,0.8,56,0,,
Reranking,0.9,55,0,,
Reranking,1.0,55,0,,
