model_id,display_name,results_dir,match_method
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,Qwen__Qwen3-Embedding-0.6B,exact_org__name
Qwen/Qwen3-Embedding-4B,Qwen3-4B,Qwen__Qwen3-Embedding-4B,exact_org__name
Qwen/Qwen3-Embedding-8B,Qwen3-8B,Qwen__Qwen3-Embedding-8B,exact_org__name
nvidia/llama-embed-nemotron-8b,nemotron-8b,nvidia__llama-embed-nemotron-8b,exact_org__name
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,microsoft__harrier-oss-v1-0.6b,exact_org__name
BAAI/bge-m3,bge-m3,BAAI__bge-m3,exact_org__name
intfloat/multilingual-e5-small,ml-e5-small,intfloat__multilingual-e5-small,exact_org__name
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,tencent__KaLM-Embedding-Gemma3-12B-2511,exact_org__name
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,perplexity-ai__pplx-embed-v1-4b,exact_org__name
infly/inf-retriever-v1,inf-retriever-v1,infly__inf-retriever-v1,exact_org__name
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,codefuse-ai__F2LLM-v2-14B,exact_org__name
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,Bytedance__Seed1.6-embedding-1215,exact_org__name
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,codefuse-ai__F2LLM-v2-8B,exact_org__name
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,perplexity-ai__pplx-embed-v1-0.6b,exact_org__name
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,ibm-granite__granite-embedding-311m-multilingual-r2,exact_org__name
jinaai/jina-embeddings-v5-text-small,jina-v5-small,jinaai__jina-embeddings-v5-text-small,exact_org__name
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,codefuse-ai__F2LLM-v2-4B,exact_org__name
voyageai/voyage-3.5,voyage-3.5,voyageai__voyage-3.5,exact_org__name
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,jinaai__jina-embeddings-v5-text-nano,exact_org__name
zeroentropy/zembed-1,zembed-1,zeroentropy__zembed-1,exact_org__name
google/embeddinggemma-300m,embeddinggemma-300m,google__embeddinggemma-300m,exact_org__name
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,ICT-TIME-and-Querit__BOOM_4B_v1,exact_org__name
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,BidirLM__BidirLM-Omni-2.5B-Embedding,exact_org__name
GritLM/GritLM-7B,GritLM-7B,GritLM__GritLM-7B,exact_org__name
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,BidirLM__BidirLM-1B-Embedding,exact_org__name
