fork,model,in_curated_roster,n_tasks_scored,coverage_full,coverage_retrieval,fork_score_full,fork_score_retrieval
MTEB-French,Qwen3-0.6B,True,11,0.44,0.0,,
MTEB-French,Qwen3-4B,True,11,0.44,0.0,,
MTEB-French,Qwen3-8B,True,11,0.44,0.0,,
MTEB-French,nemotron-8b,True,5,0.2,0.0,,
MTEB-French,harrier-0.6b,True,5,0.2,0.0,,
MTEB-French,bge-m3,True,15,0.6,0.4,0.6075467569269157,
MTEB-French,ml-e5-small,True,17,0.68,0.2,0.5401085294117647,
MTEB-French,KaLM-Gemma3-12B,True,8,0.32,0.0,,
MTEB-French,pplx-embed-4b,True,0,0.0,0.0,,
MTEB-French,inf-retriever-v1,True,5,0.2,1.0,,0.6948866666666667
MTEB-French,F2LLM-v2-14B,True,25,1.0,1.0,0.7236661333333333,0.7249026666666667
MTEB-French,Seed1.6-embed,True,5,0.2,0.0,,
MTEB-French,F2LLM-v2-8B,True,25,1.0,1.0,0.7240837466666666,0.7139393333333334
MTEB-French,pplx-embed-0.6b,True,0,0.0,0.0,,
MTEB-French,granite-311m,True,5,0.2,0.0,,
MTEB-French,jina-v5-small,True,14,0.56,0.4,0.7420737976190477,
MTEB-French,F2LLM-v2-4B,True,25,1.0,1.0,0.7093374133333333,0.6909446666666667
MTEB-French,voyage-3.5,True,6,0.24,0.0,,
MTEB-French,jina-v5-nano,True,14,0.56,0.4,0.735017369047619,
MTEB-French,zembed-1,True,5,0.2,0.0,,
MTEB-French,embeddinggemma-300m,True,9,0.36,0.0,,
MTEB-French,BOOM-4B,True,8,0.32,0.0,,
MTEB-French,BidirLM-2.5B,True,5,0.2,0.0,,
MTEB-French,GritLM-7B,True,19,0.76,1.0,0.7329973680879633,0.6594513333333334
MTEB-French,BidirLM-1B,True,5,0.2,0.0,,
MTEB-French,granite-97m-r2,False,5,0.2,0.0,,
FaMTEB,Qwen3-0.6B,True,7,0.1346,0.1765,,
FaMTEB,Qwen3-4B,True,7,0.1346,0.1765,,
FaMTEB,Qwen3-8B,True,7,0.1346,0.1765,,
FaMTEB,nemotron-8b,True,4,0.0769,0.1176,,
FaMTEB,harrier-0.6b,True,4,0.0769,0.1176,,
FaMTEB,bge-m3,True,52,1.0,1.0,0.6558072376029783,0.5892258823529412
FaMTEB,ml-e5-small,True,50,0.9615,1.0,0.60533488,0.5243888235294117
FaMTEB,KaLM-Gemma3-12B,True,7,0.1346,0.1765,,
FaMTEB,pplx-embed-4b,True,2,0.0385,0.1176,,
FaMTEB,inf-retriever-v1,True,5,0.0962,0.2941,,
FaMTEB,F2LLM-v2-14B,True,52,1.0,1.0,0.738816153846154,0.6548223529411765
FaMTEB,Seed1.6-embed,True,4,0.0769,0.1176,,
FaMTEB,F2LLM-v2-8B,True,52,1.0,1.0,0.7299999423076924,0.6474705882352941
FaMTEB,pplx-embed-0.6b,True,2,0.0385,0.1176,,
FaMTEB,granite-311m,True,4,0.0769,0.1176,,
FaMTEB,jina-v5-small,True,7,0.1346,0.1765,,
FaMTEB,F2LLM-v2-4B,True,52,1.0,1.0,0.7202806538461538,0.6395270588235293
FaMTEB,voyage-3.5,True,5,0.0962,0.1176,,
FaMTEB,jina-v5-nano,True,7,0.1346,0.1765,,
FaMTEB,zembed-1,True,4,0.0769,0.1176,,
FaMTEB,embeddinggemma-300m,True,52,1.0,1.0,0.6776302692307692,0.5921888235294117
FaMTEB,BOOM-4B,True,9,0.1731,0.1176,,
FaMTEB,BidirLM-2.5B,True,4,0.0769,0.1176,,
FaMTEB,GritLM-7B,True,9,0.1731,0.1765,,
FaMTEB,BidirLM-1B,True,4,0.0769,0.1176,,
FaMTEB,granite-97m-r2,False,4,0.0769,0.1176,,
ruMTEB,Qwen3-0.6B,True,23,1.0,1.0,0.6429385652173913,0.6762433333333333
ruMTEB,Qwen3-4B,True,23,1.0,1.0,0.7015331304347826,0.7636233333333333
ruMTEB,Qwen3-8B,True,23,1.0,1.0,0.7140486086956521,0.7818933333333332
ruMTEB,nemotron-8b,True,4,0.1739,0.0,,
ruMTEB,harrier-0.6b,True,4,0.1739,0.0,,
ruMTEB,bge-m3,True,23,1.0,1.0,0.6163776771331829,0.7520233333333333
ruMTEB,ml-e5-small,True,23,1.0,1.0,0.5723990432002191,0.6619233333333333
