model,revision
BOOM-4B,447ab88574d27e67c428acc2b429d7d4580a4ea7
BidirLM-1B,8b9661377d17cc1c41f8c02df4a6e90487c5a7f9
BidirLM-2.5B,4d8a7d34095ef8c4ab760744015825b809756dfe
F2LLM-v2-14B,e42037a37e12999db44ce8e1a0e63c366c273f6a
F2LLM-v2-4B,e04d1a04f4a0e154bf43969d3dcc596bbd92b1f8
F2LLM-v2-8B,5ac7d57351026337281e8e6a23e05cce16e79415
GritLM-7B,13f00a0e36500c80ce12870ea513846a066004af
KaLM-Gemma3-12B,edf22f4753f58b05e3f5495818d31f12db63056d
Qwen3-0.6B,b22da495047858cce924d27d76261e96be6febc0
Qwen3-4B,636cd9bf47d976946cdbb2b0c3ca0cb2f8eea5ff
Qwen3-8B,4e423935c619ae4df87b646a3ce949610c66241c
Seed1.6-embed,1
bge-m3,5617a9f61b028005a4858fdac845db406aefb181
embeddinggemma-300m,64614b0b8b64f0c6c1e52b07e4e9a4e8fe4d2da2
granite-311m,dba7b0ee9d789f330fecfb85df57699f9e7d9c42
harrier-0.6b,f9b9dc8d367d443f2479d27aa5d8d2850c0774ee
inf-retriever-v1,cb70ca7c31dfa866b2eff2dad229c144d8ddfd91
jina-v5-nano,4c1f9846bb85490df1d9e535834cf00ceb33823b
jina-v5-small,46ed7da5b47e4bca710b756313fafaf4110c6bd1
ml-e5-small,fd1525a9fd15316a2d503bf26ab031a61d056e98
nemotron-8b,84a375593d27d3528beb4e104822515659e093b4
pplx-embed-0.6b,1dc2ea99a948a2f17b103949ad02b0194a20c0a8
pplx-embed-4b,964a2aafe021f2bbda88ba17eb326eb849922435
voyage-3.5,1
zembed-1,10378878bba40172305a1a979db64a413ab7da7b
