iso3,n_models,n_tasks,tau_fresh,inv_fresh,tau_frozen,inv_frozen
ara,25,3,0.453,0.273,0.453,0.273
ben,24,3,0.42,0.29,0.42,0.29
deu,24,4,0.399,0.301,0.413,0.293
fas,24,3,0.326,0.337,0.304,0.348
fra,25,2,0.267,0.367,0.253,0.373
hin,24,4,0.464,0.268,0.464,0.268
ind,25,2,0.273,0.363,0.26,0.37
ita,24,2,0.348,0.326,0.362,0.319
jpn,25,2,0.34,0.33,0.333,0.333
kor,25,2,0.287,0.357,0.28,0.36
rus,25,2,0.34,0.33,0.34,0.33
spa,25,3,0.487,0.257,0.487,0.257
swa,25,2,0.313,0.343,0.3,0.35
tel,25,2,0.273,0.363,0.26,0.37
tha,25,2,0.333,0.333,0.32,0.34
vie,25,2,0.587,0.207,0.587,0.207
zho,25,3,0.4,0.3,0.393,0.303
