language_iso,model,included,local_rank,n_extended,lang_avg,n_tasks
ita,Qwen__Qwen3-Embedding-8B,True,1,53,0.95882,2
ita,google__gemini-embedding-001,True,2,53,0.95828,2
ita,perplexity-ai__pplx-embed-v1-4b,True,3,53,0.954995,2
ita,nvidia__llama-embed-nemotron-8b,True,4,53,0.952585,2
ita,GritLM__GritLM-7B,True,5,53,0.95001,2
ita,infly__inf-retriever-v1,True,6,53,0.948505,2
ita,Bytedance__Seed1.6-embedding-1215,True,7,53,0.94836,2
ita,tencent__KaLM-Embedding-Gemma3-12B-2511,True,8,53,0.946235,2
ita,microsoft__harrier-oss-v1-27b,True,9,53,0.943975,2
ita,Qwen__Qwen3-Embedding-4B,True,10,53,0.938345,2
ita,ICT-TIME-and-Querit__BOOM_4B_v1,True,11,53,0.937265,2
ita,perplexity-ai__pplx-embed-v1-0.6b,True,12,53,0.936845,2
ita,voyageai__voyage-3.5,True,13,53,0.9368,2
ita,ICT-TIME-and-Querit__ICT-TIME-and-Querit-embedding-v1,True,14,53,0.93664,2
ita,codefuse-ai__F2LLM-v2-14B,True,15,53,0.932265,2
ita,jinaai__jina-embeddings-v5-text-small,True,16,53,0.93222,2
ita,codefuse-ai__F2LLM-v2-8B,True,17,53,0.93121,2
ita,zeroentropy__zembed-1,True,18,53,0.93107,2
ita,google__embeddinggemma-300m,True,19,53,0.9295,2
ita,codefuse-ai__F2LLM-v2-4B,True,20,53,0.926625,2
ita,jinaai__jina-embeddings-v5-text-nano,True,21,53,0.9251,2
ita,infly__inf-retriever-v1-1.5b,True,22,53,0.922595,2
ita,codefuse-ai__F2LLM-v2-1.7B,True,23,53,0.9215,2
ita,BAAI__bge-m3,True,24,53,0.914135,2
ita,Snowflake__snowflake-arctic-embed-m-v2.0,True,25,53,0.91266,2
ita,codefuse-ai__F2LLM-v2-0.6B,True,26,53,0.90571,2
ita,BidirLM__BidirLM-Omni-2.5B-Embedding,True,27,53,0.90541,2
ita,Qwen__Qwen3-Embedding-0.6B,True,28,53,0.904775,2
ita,google__text-multilingual-embedding-002,True,29,53,0.89971,2
ita,BidirLM__BidirLM-1B-Embedding,True,30,53,0.8982049999999999,2
ita,codefuse-ai__F2LLM-v2-330M,True,31,53,0.89708,2
ita,microsoft__harrier-oss-v1-0.6b,True,32,53,0.89164,2
ita,BidirLM__BidirLM-1.7B-Embedding,True,33,53,0.8893500000000001,2
ita,ibm-granite__granite-embedding-311m-multilingual-r2,True,34,53,0.888015,2
ita,microsoft__harrier-oss-v1-270m,True,35,53,0.8818900000000001,2
ita,BidirLM__BidirLM-0.6B-Embedding,True,36,53,0.868735,2
ita,ibm-granite__granite-embedding-97m-multilingual-r2,True,37,53,0.860785,2
ita,codefuse-ai__F2LLM-v2-160M,True,38,53,0.855055,2
ita,BidirLM__BidirLM-270M-Embedding,True,39,53,0.834395,2
ita,codefuse-ai__F2LLM-v2-80M,True,40,53,0.8183750000000001,2
ita,sentence-transformers__static-similarity-mrl-multilingual-v1,True,41,53,0.68691,2
ita,sergeyzh__LaBSE-ru-turbo,True,42,53,0.566625,2
ita,sdadas__mmlw-e5-base,True,43,53,0.5384,2
ita,cointegrated__LaBSE-en-ru,True,44,53,0.512045,2
ita,sdadas__mmlw-e5-small,True,45,53,0.421065,2
ita,sergeyzh__rubert-tiny-turbo,True,46,53,0.240425,2
ita,cointegrated__rubert-tiny2,True,47,53,0.109745,2
ita,DeepPavlov__distilrubert-small-cased-conversational,True,48,53,0.09511,2
ita,cointegrated__rubert-tiny,True,49,53,0.08614,2
ita,DeepPavlov__rubert-base-cased-sentence,True,50,53,0.08346,2
ita,ai-forever__sbert_large_mt_nlu_ru,True,51,53,0.047805,2
ita,ai-forever__sbert_large_nlu_ru,True,52,53,0.0227549999999999,2
ita,deepvk__deberta-v1-base,True,53,53,0.02128,2
