,Model,AILAStatutes,ArguAna,BelebeleRetrieval,CovidRetrieval,HagridRetrieval,LEMBPasskeyRetrieval,LegalBenchCorporateLobbying,MIRACLRetrievalHardNegatives,MLQARetrieval,SCIDOCS,SpartQA,StackOverflowQA,StatcanDialogueDatasetRetrieval,TRECCOVID,TempReasonL1,TwitterHjerneRetrieval,WikipediaRetrievalMultilingual,WinoGrande
0,harrier-oss-v1-27b,55.137,67.759,86.48909840425532,83.096,98.896,97.5,95.78,69.31716666666668,79.57584693877551,28.932000000000002,87.693,96.994,55.0995,88.85499999999999,41.844,90.211,92.4549375,93.144
1,KaLM-Embedding-Gemma3-12B-2511,56.263,70.307,88.8679414893617,82.391,98.896,100.0,94.694,66.07966666666667,82.01993877551021,24.006,84.83000000000001,95.598,54.07875,84.572,7.170999999999999,90.399,91.8124375,89.889
2,llama-embed-nemotron-8b,54.027,75.667,86.04118617021277,79.53099999999999,98.97,84.5,96.153,73.04805555555556,83.88199999999999,28.166999999999998,15.86,96.586,41.6695,88.19,8.053,81.387,93.0133125,51.751000000000005
3,gemini-embedding-001,48.77,86.442,90.73199468085107,79.134,99.30600000000001,38.5,95.98400000000001,70.41794444444443,84.15779591836734,25.153,10.297,96.71300000000001,51.11399999999999,86.315,2.956,98.021,94.2049375,60.51800000000001
4,Octen-Embedding-8B,93.133,78.30799999999999,88.98725265957447,86.235,98.747,89.0,95.488,63.60433333333333,81.27270408163265,31.81,15.902,94.503,48.556999999999995,91.25,1.8610000000000002,81.026,92.2529375,57.094
5,Qwen3-Embedding-8B,85.086,76.852,88.81362234042552,87.653,98.91499999999999,84.75,95.203,70.57716666666667,83.5470612244898,32.742,15.715000000000002,94.75099999999999,40.460499999999996,94.991,1.346,78.199,91.9601875,54.225
6,Qwen3-Embedding-4B,81.194,75.64,81.16209840425532,87.373,98.76599999999999,84.25,95.417,69.49377777777778,81.92095918367347,31.444,20.150000000000002,94.32300000000001,42.28125,92.92399999999999,1.226,72.577,91.2278125,51.510999999999996
7,pplx-embed-v1-4b,60.998,69.988,77.877164893617,77.496,98.76899999999999,89.5,94.849,66.24183333333333,83.34497959183673,23.868000000000002,23.301,93.61,56.53075,85.61,1.187,75.67399999999999,92.6849375,82.399
8,inf-retriever-v1,37.727,84.855,77.36756914893618,87.77000000000001,98.97,78.75,96.17999999999999,60.93377777777778,80.30828571428572,30.775999999999996,7.768,94.219,37.297000000000004,75.09700000000001,1.6889999999999998,79.29899999999999,92.015375,75.61099999999999
9,F2LLM-v2-14B,48.501,64.97500000000001,84.67527659574468,79.063,98.822,85.0,95.759,64.8675,78.96059183673468,28.418,15.448999999999998,97.488,38.927,58.916000000000004,2.257,87.194,91.7429375,76.07300000000001
