,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
0,1,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),72%,25.599,27.009,5376.0,131072.0,78.27,78.27,78.27
1,2,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),72%,10.759,11.766,3840.0,32768.0,75.66,75.66,75.66
2,3,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),94%,6.98,7.505,4096.0,32768.0,68.69,68.69,68.69
3,4,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),94%,,,3072.0,2048.0,67.71,67.71,67.71
4,5,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),94%,6.946,7.567,4096.0,32768.0,71.61,71.61,71.61
5,6,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),94%,6.946,7.567,4096.0,32768.0,70.88,70.88,70.88
6,7,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),94%,3.634,4.022,2560.0,32768.0,69.6,69.6,69.6
7,8,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),94%,3.611,4.0,2560.0,32768.0,69.66,69.66,69.66
8,9,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),77%,6.526,7.069,3584.0,32768.0,66.48,66.48,66.48
9,10,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),83%,13.214,13.99,5120.0,40960.0,66.5,66.5,66.5
10,11,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),83%,6.947,7.568,4096.0,40960.0,66.15,66.15,66.15
11,12,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),88%,,,2048.0,32768.0,66.05,66.05,66.05
12,12,[harrier-oss-v1-0.6b](https://huggingface.co/microsoft/harrier-oss-v1-0.6b),72%,0.44,0.596,1024.0,32768.0,70.75,70.75,70.75
13,14,[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),94%,0.44,0.596,1024.0,32768.0,65.41,65.41,65.41
14,15,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),94%,3.624,3.935,2048.0,32768.0,66.43,66.43,66.43
15,16,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),83%,3.634,4.022,2560.0,40960.0,64.84,64.84,64.84
16,17,[harrier-oss-v1-270m](https://huggingface.co/microsoft/harrier-oss-v1-270m),72%,0.1,0.268,640.0,32768.0,66.38,66.38,66.38
17,18,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,64.88,64.88,64.88
18,19,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,66.18,66.18,66.18
19,20,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,64.01,64.01,64.01
20,21,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),94%,0.44,0.596,1024.0,32768.0,64.65,64.65,64.65
21,22,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,6.526,7.069,3584.0,32768.0,60.08,60.08,60.08
22,23,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,1.31,1.543,8960.0,32768.0,60.78,60.78,60.78
23,23,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),94%,6.98,7.111,4096.0,32768.0,58.69,58.69,58.69
24,25,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,,,
25,26,[BidirLM-Omni-2.5B-Embedding](https://huggingface.co/BidirLM/BidirLM-Omni-2.5B-Embedding),94%,2.13,2.445,2048.0,32768.0,61.04,61.04,61.04
26,27,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,0.113,0.212,768.0,8192.0,63.26,63.26,63.26
27,28,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),94%,0.106,0.308,768.0,2048.0,62.49,62.49,62.49
28,29,[zembed-1](https://huggingface.co/zeroentropy/zembed-1),⚠️ NA,3.634,4.022,2560.0,32768.0,63.35,63.35,63.35
29,30,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),88%,7.719,7.85,4096.0,32768.0,56.72,56.72,56.72
30,31,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),83%,1.41,1.721,2048.0,40960.0,61.97,61.97,61.97
31,32,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),77%,1.31,1.543,1536.0,32768.0,62.96,62.96,62.96
32,33,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),94%,6.98,7.111,4096.0,32768.0,59.44,59.44,59.44
33,34,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),94%,7.109,7.24,4096.0,32768.0,58.31,58.31,58.31
34,35,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,59.32,59.32,59.32
35,36,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,57.77,57.77,57.77
36,36,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),94%,3.633,4.022,2560.0,32768.0,62.21,62.21,62.21
37,38,[BidirLM-1.7B-Embedding](https://huggingface.co/BidirLM/BidirLM-1.7B-Embedding),94%,1.409,1.721,2048.0,512.0,59.93,59.93,59.93
38,39,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),94%,6.98,7.111,4096.0,32768.0,57.93,57.93,57.93
39,40,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),94%,13.0,57.92,32768.0,32768.0,57.54,57.54,57.54
40,41,[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),83%,0.441,0.596,1024.0,40960.0,59.3,59.3,59.3
41,42,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),88%,7.719,7.85,4096.0,32768.0,53.98,53.98,53.98
42,43,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,59.22,59.22,59.22
43,44,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),94%,6.98,7.111,4096.0,32768.0,55.75,55.75,55.75
44,45,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),88%,1.332,1.565,8960.0,131072.0,55.12,55.12,55.12
45,46,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),94%,0.304,0.56,1024.0,514.0,57.12,57.12,57.12
46,47,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),94%,0.312,0.568,1024.0,8192.0,58.36,58.36,58.36
47,48,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),94%,,,768.0,2048.0,59.68,59.68,59.68
48,49,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),88%,1.307,1.54,8960.0,131072.0,52.84,52.84,52.84
49,50,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,58.6,58.6,58.6
50,51,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),88%,0.358,0.494,896.0,512.0,54.17,54.17,54.17
51,52,[BidirLM-0.6B-Embedding](https://huggingface.co/BidirLM/BidirLM-0.6B-Embedding),94%,0.44,0.596,1024.0,512.0,56.45,56.45,56.45
52,53,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),94%,0.113,0.305,768.0,8192.0,54.83,54.83,54.83
53,54,[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),83%,0.198,0.334,896.0,40960.0,56.5,56.5,56.5
54,55,[BidirLM-1B-Embedding](https://huggingface.co/BidirLM/BidirLM-1B-Embedding),94%,0.698,1.0,1152.0,512.0,56.54,56.54,56.54
55,56,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,50.69,50.69,50.69
56,57,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,0.304,0.56,1024.0,514.0,55.69,55.69,55.69
