,Model,ara-Arab,deu-Latn,eng-Latn,hin-Deva,spa-Latn,vie-Latn,zho-Hans
0,gemini-embedding-001,84.65599999999999,87.30075000000001,88.627625,86.493,86.99574999999999,85.4155,86.97325000000001
1,Qwen3-Embedding-8B,83.47675,84.51174999999999,90.0925,85.74455555555556,85.7875,85.36574999999999,85.3985
2,llama-embed-nemotron-8b,82.277,85.6125,88.716875,85.64025000000001,86.2625,84.54925,85.60775000000001
3,Octen-Embedding-8B,83.43549999999999,84.15825,89.63662500000001,85.26327777777777,85.69375000000001,84.93775,84.5055
4,KaLM-Embedding-Gemma3-12B-2511,81.2695,83.56325,88.122,84.12305555555555,84.33200000000001,83.47625,84.45875000000001
5,pplx-embed-v1-4b,81.7705,85.514,85.404,83.79358333333333,85.19725,82.861,84.39099999999999
6,voyage-3-large,81.36075000000001,83.8445,86.0895,83.82469444444445,83.98925,83.4955,83.26050000000001
7,Qwen3-Embedding-4B,81.142,83.38600000000001,86.09774999999999,83.49797222222223,85.1715,82.7385,83.855
8,harrier-oss-v1-27b,81.588,82.44775,86.070625,83.28741666666667,83.51425,82.692,83.16
9,F2LLM-v2-14B,80.47025,83.19975,86.90237499999999,82.78766666666667,82.60875000000001,81.79075,82.72025
10,Seed1.6-embedding-1215,77.27425,83.36925,85.93325,82.70072222222223,84.5835,81.56475,84.87599999999999
11,F2LLM-v2-8B,79.95725,81.65625,86.253625,82.03575,82.0005,80.69024999999999,82.297
12,Euler-Legal-Embedding-V1,77.879,80.45649999999999,90.79683333333334,84.53561904761904,81.076,80.3205,80.4885
13,inf-retriever-v1,77.48775,81.29899999999999,83.65537499999999,80.99794444444444,82.77275,80.51,80.99475000000001
14,F2LLM-v2-4B,78.12525000000001,80.947,84.56175,80.99361111111111,80.94025,79.9405,82.03425
15,embeddinggemma-300m,78.59049999999999,82.11124999999998,80.71125,80.36736111111111,82.79875,77.8285,81.8765
16,jina-embeddings-v5-text-small,77.903,81.5425,81.21062500000001,80.32588888888888,81.927,79.80675000000001,81.316
17,jina-embeddings-v5-text-nano,77.62074999999999,81.41275,79.471625,79.66991666666667,82.14125,79.48124999999999,80.0995
18,zembed-1,77.093,79.28675000000001,81.876,79.98516666666666,81.204,79.80875,80.29925
19,gte-Qwen2-7B-instruct,76.4425,80.04,82.742125,78.99658333333333,80.0655,78.3065,80.04599999999999
20,BOOM_4B_v1,75.76225,79.34275,81.77449999999999,79.66283333333332,81.1275,77.866,79.78375
21,pplx-embed-v1-0.6b,75.29275,81.50150000000001,78.49325,79.15363888888889,80.84700000000001,78.3185,79.69874999999999
22,F2LLM-v2-1.7B,76.18375,79.88275,81.731875,78.99588888888889,78.701,77.96475000000001,80.2705
23,Cohere-embed-multilingual-v3.0,74.78725,79.34675,77.03949999999999,77.7645,79.51475,76.99000000000001,77.17825
24,multilingual-e5-large,74.89125,77.8255,76.54974999999999,77.876,80.25925000000001,77.77074999999999,75.7355
