,Model,BelebeleRetrieval,MIRACLRetrievalHardNegatives,MLQARetrieval,WikipediaRetrievalMultilingual
0,gemini-embedding-001,93.889875,65.139,85.60280769230769,91.429
1,llama-embed-nemotron-8b,92.73,67.485,84.63180769230767,90.631
2,Qwen3-Embedding-8B,96.355875,64.78,84.2865,88.92999999999999
3,Octen-Embedding-8B,96.442625,59.833000000000006,83.7938076923077,89.659
4,KaLM-Embedding-Gemma3-12B-2511,92.93175000000001,61.891,82.96846153846154,89.18199999999999
5,harrier-oss-v1-27b,91.02475,64.991,82.1085,89.14999999999999
6,Qwen3-Embedding-4B,89.875375,64.21900000000001,82.63369230769231,88.479
7,pplx-embed-v1-4b,87.37,60.46,83.31923076923077,89.496
8,voyage-3-large,91.07075,56.275,82.82226923076922,90.17399999999999
9,F2LLM-v2-14B,91.69975000000001,57.048,81.65211538461539,88.639
10,F2LLM-v2-8B,91.05237500000001,58.172999999999995,80.84357692307692,88.28099999999999
11,embeddinggemma-300m,78.240625,59.708000000000006,80.21088461538461,89.342
12,F2LLM-v2-4B,88.629375,57.857,79.857,88.075
13,BOOM_4B_v1,86.503125,61.241,78.28657692307692,87.357
14,jina-embeddings-v5-text-small,82.00387500000001,59.309999999999995,79.78611538461539,87.717
15,zembed-1,85.395125,59.62499999999999,78.97938461538462,86.957
16,inf-retriever-v1,88.56037500000001,56.316,79.98546153846155,87.815
17,pplx-embed-v1-0.6b,77.654125,61.165000000000006,78.77703846153847,87.507
18,Cohere-embed-multilingual-v3.0,75.193125,62.43,77.19361538461538,87.978
19,Seed1.6-embedding-1215,89.015,52.020999999999994,82.08857692307691,88.407
20,jina-embeddings-v5-text-nano,77.66300000000001,59.277,79.46157692307693,87.361
21,F2LLM-v2-1.7B,83.82787499999999,56.001999999999995,78.06084615384616,87.347
22,bge-m3,67.85425000000001,60.124,75.42738461538463,87.37
23,snowflake-arctic-embed-l-v2.0,76.30862499999999,59.109,73.47465384615384,87.349
24,voyage-3,79.60225,53.852999999999994,75.81538461538462,87.64
25,voyage-3.5,80.935,49.301,72.91434615384615,89.029
26,multilingual-e5-large-instruct,75.49825,52.957,76.86153846153846,88.119
27,BidirLM-Omni-2.5B-Embedding,84.66575,55.849000000000004,75.03515384615385,83.891
28,BidirLM-1B-Embedding,80.06512500000001,58.208000000000006,73.65911538461538,83.542
29,BidirLM-1.7B-Embedding,82.46187499999999,58.830000000000005,72.12303846153846,82.31
30,gte-Qwen2-7B-instruct,88.908,48.22,77.96996153846153,84.60499999999999
31,jina-embeddings-v3,73.69600000000001,56.711,74.59838461538462,86.615
32,text-multilingual-embedding-002,82.290125,54.47,71.68946153846154,85.713
33,Solon-embeddings-large-0.1,73.2325,54.218999999999994,75.1475,87.509
34,harrier-oss-v1-0.6b,71.274125,60.27400000000001,73.60365384615383,83.684
35,jina-embeddings-v4,82.38550000000001,54.053,72.854,82.326
36,F2LLM-v2-0.6B,75.3475,52.175000000000004,74.00776923076923,85.283
37,multilingual-e5-base,62.3085,59.292,70.9528076923077,84.089
38,inf-retriever-v1-1.5b,74.310125,55.035000000000004,67.49084615384615,84.934
39,Cohere-embed-multilingual-light-v3.0,64.862875,56.005,68.5093846153846,85.661
40,bilingual-embedding-large,75.75375,44.373000000000005,74.73546153846154,84.792
41,F2LLM-v2-330M,72.40775000000001,52.196,70.99669230769231,85.15
42,Qwen3-Embedding-0.6B,74.796875,53.154999999999994,71.1048846153846,83.5
43,GritLM-7B,82.76875,44.292,67.22161538461539,84.962
44,bge-m3-custom-fr,66.056625,49.416,69.61411538461539,86.409
45,gte-Qwen2-1.5B-instruct,74.260375,53.410000000000004,67.84838461538462,83.598
46,SFR-Embedding-Mistral,79.849125,48.545,64.2853076923077,84.433
47,harrier-oss-v1-270m,65.33725,56.507,69.10611538461538,82.816
48,GritLM-8x7B,81.617,46.959,68.51542307692307,82.876
49,Linq-Embed-Mistral,80.60275,45.695,65.43730769230768,84.174
50,e5-mistral-7b-instruct,78.31975,47.743,61.7423076923077,84.451
51,NV-Embed-v2,82.31112499999999,48.718,63.16392307692307,81.516
52,snowflake-arctic-embed-m-v2.0,62.4275,54.74,61.03226923076923,85.32
53,bilingual-embedding-base,65.719125,48.022999999999996,71.78726923076924,83.708
54,KaLM-embedding-multilingual-mini-v1,68.035875,48.382999999999996,68.71696153846153,81.819
55,text-embedding-3-large,79.217125,42.753,67.27207692307692,79.754
56,voyage-3-lite,65.567375,41.589,64.9648846153846,85.872
57,SFR-Embedding-2_R,76.40125,40.565,60.682884615384616,83.357
58,F2LLM-v2-160M,67.19275,46.589999999999996,65.7003076923077,82.0
59,NV-Embed-v1,78.779125,40.373999999999995,64.00476923076923,77.172
60,bilingual-embedding-small,63.714999999999996,41.833999999999996,67.7985,83.092
61,BidirLM-0.6B-Embedding,66.76675,52.583999999999996,59.13861538461538,77.968
62,Euler-Legal-Embedding-V1,96.56375,,79.24615384615385,88.02799999999999
63,granite-embedding-278m-multilingual,59.240875,47.72,61.584307692307696,82.215
64,gte-Qwen1.5-7B-instruct,66.002375,35.729,64.03361538461539,73.048
65,F2LLM-v2-80M,62.885000000000005,41.102,61.687423076923075,79.101
66,BidirLM-270M-Embedding,60.663999999999994,47.216,56.30073076923077,77.02
67,jasper_en_vision_language_v1,70.098,22.182,59.4896923076923,69.458
68,granite-embedding-107m-multilingual,53.804125,44.282,57.94092307692308,78.66199999999999
69,Arabic-all-nli-triplet-Matryoshka,48.387625,26.454,59.76023076923076,67.326
70,stella_en_1.5B_v5,68.075625,15.360999999999999,54.82911538461539,63.397999999999996
71,Arabic-labse-Matryoshka,51.61987500000001,22.552,59.483384615384615,68.78999999999999
72,paraphrase-multilingual-mpnet-base-v2,48.2085,23.457,60.813692307692314,56.348
73,LaBSE,48.63225,18.309,54.220961538461545,61.72800000000001
74,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,50.76349999999999,19.605,33.61053846153846,64.256
75,paraphrase-multilingual-MiniLM-L12-v2,43.430625,21.279999999999998,56.56961538461538,53.825
76,KaLM-embedding-multilingual-mini-instruct-v1,57.67725,15.134,43.920346153846154,64.24600000000001
77,potion-multilingual-128M,36.925,25.781,39.42792307692308,60.244
78,Arabic-MiniLM-L12-v2-all-nli-triplet,41.479875,18.23,53.78823076923077,61.216
79,arabic-english-sts-matryoshka,53.691625,13.804,53.91592307692308,50.077000000000005
80,STS-multilingual-mpnet-base-v2,39.40075,17.357,51.217730769230776,53.779999999999994
81,static-similarity-mrl-multilingual-v1,32.440875000000005,17.104,31.465461538461536,48.672
82,udever-bloom-1b1,23.850625,20.905,24.749846153846157,50.358999999999995
83,baseline-bm25s,31.171750000000003,16.68,9.41726923076923,51.342
84,sgpt-bloom-7b1-msmarco,26.3305,14.17,23.4385,44.04
