,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
0,1,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),75%,,,3072.0,2048.0,84.02,84.02,84.02
1,2,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),75%,6.98,7.505,4096.0,32768.0,83.87,83.87,83.87
2,3,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),75%,6.946,7.567,4096.0,32768.0,83.59,83.59,83.59
3,4,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),75%,6.946,7.567,4096.0,32768.0,82.43,82.43,82.43
4,5,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),75%,10.759,11.766,3840.0,32768.0,81.74,81.74,81.74
5,6,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),75%,25.599,27.009,5376.0,131072.0,81.82,81.82,81.82
6,7,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),75%,3.634,4.022,2560.0,32768.0,81.3,81.3,81.3
7,8,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),75%,3.611,4.0,2560.0,32768.0,80.16,80.16,80.16
8,9,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,80.09,80.09,80.09
9,10,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),75%,13.214,13.99,5120.0,40960.0,79.76,79.76,79.76
10,11,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),75%,6.947,7.568,4096.0,40960.0,79.59,79.59,79.59
11,12,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),75%,0.106,0.308,768.0,2048.0,76.88,76.88,76.88
