,Model,eng-Latn
0,Octen-Embedding-8B,99.1245
1,Euler-Legal-Embedding-V1,99.08749999999999
2,Qwen3-Embedding-8B,99.0035
3,pplx-embed-v1-4b,97.3635
4,llama-embed-nemotron-8b,96.93
5,KaLM-Embedding-Gemma3-12B-2511,96.91099999999999
6,gemini-embedding-001,96.635
7,GritLM-7B,96.5575
8,Seed1.6-embedding-1215,96.5
9,inf-retriever-v1,96.4955
10,voyage-3-large,96.2815
11,NV-Embed-v2,95.8895
12,harrier-oss-v1-27b,95.8545
13,gte-Qwen2-7B-instruct,95.8525
14,Qwen3-Embedding-4B,95.7205
15,BOOM_4B_v1,95.54
16,zembed-1,95.4635
17,text-embedding-3-large,95.40299999999999
18,pplx-embed-v1-0.6b,95.34
19,NV-Embed-v1,95.32000000000001
20,F2LLM-v2-8B,95.2375
21,jina-embeddings-v5-text-small,95.1585
22,F2LLM-v2-14B,95.05600000000001
23,Linq-Embed-Mistral,95.0185
24,jasper_en_vision_language_v1,94.93549999999999
25,gte-Qwen2-1.5B-instruct,94.81200000000001
26,embeddinggemma-300m,94.73750000000001
27,voyage-3.5,94.662
28,F2LLM-v2-4B,94.60300000000001
29,inf-retriever-v1-1.5b,94.54249999999999
30,jina-embeddings-v5-text-nano,94.5145
31,SFR-Embedding-Mistral,94.4725
32,BidirLM-Omni-2.5B-Embedding,94.3485
33,F2LLM-v2-1.7B,94.22749999999999
34,bilingual-embedding-large,94.19550000000001
35,Cohere-embed-multilingual-v3.0,94.09349999999999
36,jina-embeddings-v4,93.9365
37,multilingual-e5-large,93.92099999999999
38,multilingual-e5-large-instruct,93.854
39,stella_en_1.5B_v5,93.711
40,BidirLM-1B-Embedding,93.7015
41,e5-mistral-7b-instruct,93.5985
42,harrier-oss-v1-0.6b,93.535
43,BidirLM-1.7B-Embedding,93.499
44,GritLM-8x7B,93.404
45,Solon-embeddings-large-0.1,93.386
46,Qwen3-Embedding-0.6B,93.3295
47,KaLM-embedding-multilingual-mini-v1,93.1805
48,text-embedding-3-small,93.07799999999999
49,F2LLM-v2-0.6B,92.88499999999999
50,SFR-Embedding-2_R,92.631
51,bge-m3,92.596
52,voyage-3,92.379
53,snowflake-arctic-embed-l-v2.0,92.377
54,jina-embeddings-v3,92.179
55,gte-Qwen1.5-7B-instruct,92.141
56,bilingual-embedding-base,92.0435
57,snowflake-arctic-embed-m-v2.0,91.686
58,text-multilingual-embedding-002,91.532
59,BidirLM-0.6B-Embedding,91.3305
60,F2LLM-v2-330M,91.19800000000001
61,multilingual-e5-base,90.7745
62,bge-m3-custom-fr,90.601
63,harrier-oss-v1-270m,90.4435
64,voyage-3-lite,90.1585
65,Cohere-embed-multilingual-light-v3.0,88.1815
66,bilingual-embedding-small,88.1135
67,KaLM-embedding-multilingual-mini-instruct-v1,87.6695
68,multilingual-e5-small,87.32150000000001
69,F2LLM-v2-160M,87.054
70,BidirLM-270M-Embedding,86.6645
71,granite-embedding-278m-multilingual,86.1285
72,SearchMap_Preview,85.9905
73,sentence_croissant_alpha_v0.4,85.842
74,granite-embedding-107m-multilingual,85.4295
75,paraphrase-multilingual-mpnet-base-v2,85.0795
76,sentence_croissant_alpha_v0.3,84.94500000000001
77,sentence_croissant_alpha_v0.2,84.5215
78,Arabic-all-nli-triplet-Matryoshka,84.308
79,F2LLM-v2-80M,82.952
80,paraphrase-multilingual-MiniLM-L12-v2,80.866
81,stella_en_400M_v5,79.12049999999999
82,STS-multilingual-mpnet-base-v2,78.74799999999999
83,Arabic-labse-Matryoshka,77.5195
84,Arabic-MiniLM-L12-v2-all-nli-triplet,76.2155
85,LaBSE,74.4495
86,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,74.1635
87,Cohere-embed-english-v3.0,71.33850000000001
88,arabic-english-sts-matryoshka,71.052
89,e5-large-v2,69.902
90,static-similarity-mrl-multilingual-v1,69.462
