,Model,eng-Latn,jpn-Jpan
0,Euler-Legal-Embedding-V1,98.81800000000001,98.6615
1,Qwen3-Embedding-8B,98.455,93.5378
2,Octen-Embedding-8B,98.7705,92.1894
3,gemini-embedding-001,96.2485,92.1988
4,llama-embed-nemotron-8b,95.98349999999999,92.4304
5,pplx-embed-v1-4b,96.759,91.13580000000002
6,Seed1.6-embedding-1215,96.523,89.5328
7,harrier-oss-v1-27b,95.4555,91.13300000000001
8,KaLM-Embedding-Gemma3-12B-2511,95.9285,89.5334
9,inf-retriever-v1,95.584,89.59059999999998
10,Qwen3-Embedding-4B,94.88250000000001,90.4416
11,pplx-embed-v1-0.6b,94.66250000000001,90.2204
12,embeddinggemma-300m,94.7255,89.6696
13,F2LLM-v2-14B,94.911,89.3944
14,F2LLM-v2-8B,95.244,89.32220000000001
15,voyage-3-large,95.58949999999999,88.70840000000001
16,jina-embeddings-v5-text-small,94.1105,89.03320000000001
17,jina-embeddings-v5-text-nano,93.83749999999999,88.8778
18,BOOM_4B_v1,93.6675,88.9032
19,zembed-1,94.1575,88.43180000000001
20,BidirLM-1.7B-Embedding,93.4035,88.7392
21,F2LLM-v2-4B,94.1675,88.0332
22,multilingual-e5-large,90.7885,92.70675
23,gte-Qwen2-7B-instruct,94.7545,87.33319999999999
24,gte-Qwen2-1.5B-instruct,93.3395,88.4336
25,BidirLM-Omni-2.5B-Embedding,93.6,88.1528
26,BidirLM-1B-Embedding,92.992,88.1738
27,F2LLM-v2-1.7B,93.66600000000001,87.16860000000001
28,jina-embeddings-v4,92.8335,87.9814
29,text-embedding-3-large,93.22399999999999,86.62559999999999
30,inf-retriever-v1-1.5b,92.51,87.744
31,Cohere-embed-multilingual-v3.0,91.8885,88.10119999999999
32,voyage-3.5,92.75450000000001,87.2738
33,GritLM-7B,92.97999999999999,85.7278
34,bge-m3,90.4055,88.2184
35,Qwen3-Embedding-0.6B,91.429,86.351
36,harrier-oss-v1-0.6b,90.91199999999999,87.072
37,F2LLM-v2-0.6B,92.011,84.97999999999999
38,bilingual-embedding-large,92.2765,84.85780000000001
39,Solon-embeddings-large-0.1,91.34100000000001,85.3836
40,NV-Embed-v2,91.136,85.62819999999999
41,BidirLM-0.6B-Embedding,90.68,86.0758
42,NV-Embed-v1,91.756,84.07880000000002
43,multilingual-e5-large-instruct,90.83099999999999,85.09
44,text-embedding-3-small,87.08500000000001,88.1075
45,voyage-3,91.178,84.52199999999999
46,jina-embeddings-v3,90.3395,86.1408
47,snowflake-arctic-embed-l-v2.0,89.68149999999999,86.39379999999998
48,Linq-Embed-Mistral,91.07449999999999,83.5456
49,bge-m3-custom-fr,88.523,85.302
50,SFR-Embedding-Mistral,89.7445,84.3272
51,text-multilingual-embedding-002,89.6775,84.6916
52,KaLM-embedding-multilingual-mini-v1,90.488,83.0214
53,GritLM-8x7B,90.54150000000001,82.06200000000001
54,F2LLM-v2-330M,89.769,83.0494
55,bilingual-embedding-base,89.0985,83.4962
56,e5-mistral-7b-instruct,88.2945,83.6072
57,jasper_en_vision_language_v1,90.58,78.5458
58,gte-Qwen1.5-7B-instruct,90.044,80.84060000000001
59,voyage-3-lite,88.3215,82.1762
60,multilingual-e5-base,84.9695,83.996
61,granite-embedding-278m-multilingual,86.236,82.9458
62,stella_en_1.5B_v5,90.242,76.562
63,granite-embedding-107m-multilingual,85.6655,81.69720000000001
64,harrier-oss-v1-270m,85.775,81.4828
65,SFR-Embedding-2_R,86.6935,80.48920000000001
66,Cohere-embed-multilingual-light-v3.0,83.1925,82.86300000000001
67,BidirLM-270M-Embedding,85.1545,81.26240000000001
68,F2LLM-v2-160M,85.7375,80.14020000000001
69,multilingual-e5-small,80.3265,81.61540000000001
70,bilingual-embedding-small,83.328,79.38159999999999
71,F2LLM-v2-80M,82.5905,77.2122
72,snowflake-arctic-embed-m-v2.0,81.0875,79.8828
73,paraphrase-multilingual-mpnet-base-v2,81.3455,68.57140000000001
74,KaLM-embedding-multilingual-mini-instruct-v1,81.41199999999999,67.5424
75,Arabic-all-nli-triplet-Matryoshka,79.65599999999999,69.52499999999999
76,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,73.1705,66.353
77,paraphrase-multilingual-MiniLM-L12-v2,76.751,65.5402
78,speed-embedding-7b-instruct,48.3045,65.63325
79,Arabic-labse-Matryoshka,70.9145,61.9768
80,Arabic-MiniLM-L12-v2-all-nli-triplet,70.86049999999999,62.7032
81,LaBSE,71.00649999999999,60.3208
82,STS-multilingual-mpnet-base-v2,69.462,59.249399999999994
83,static-similarity-mrl-multilingual-v1,62.74550000000001,57.668200000000006
84,arabic-english-sts-matryoshka,67.238,56.323600000000006
85,potion-multilingual-128M,48.0925,48.6008
86,SearchMap_Preview,44.6935,44.6935
87,text2vec-base-multilingual,44.282,41.6352
88,sentence_croissant_alpha_v0.3,35.5715,35.4852
89,sentence_croissant_alpha_v0.4,35.482,35.231
90,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,25.97,38.5854
91,sentence_croissant_alpha_v0.2,32.1365,30.408599999999996
92,sgpt-bloom-7b1-msmarco,27.554499999999997,29.466800000000003
93,Cohere-embed-english-v3.0,24.8975,34.4388
94,stella_en_400M_v5,35.1895,28.3992
95,e5-large-v2,20.834,29.198399999999996
96,nomic-embed-text-v1-unsupervised,18.512,28.8904
97,e5-base-v2,18.633,26.067600000000002
98,embedder-100p,47.099000000000004,22.825200000000002
99,gte-base,17.648999999999997,25.1888
100,gte-large,17.4015,26.053199999999997
101,UAE-Large-V1,17.740000000000002,24.7024
102,GIST-large-Embedding-v0,18.0525,24.2608
103,bge-large-en-v1.5,17.0575,24.6814
104,nomic-embed-text-v1,16.841,24.633599999999998
105,GIST-Embedding-v0,18.096999999999998,23.506
106,Cohere-embed-english-light-v3.0,15.2475,26.7184
107,nomic-embed-text-v1-ablated,14.947,26.677
108,mxbai-embed-large-v1,17.324,23.674
109,bge-base-en-v1.5,16.2305,24.077200000000005
110,mmlw-e5-large,25.5195,17.901400000000002
111,gte-small,15.452499999999999,24.1774
112,snowflake-arctic-embed-m-long,19.0515,19.395400000000002
113,udever-bloom-1b1,16.6645,22.257600000000004
114,nomic-embed-text-v1.5,15.702,23.288199999999996
115,stella-base-en-v2,16.406,21.0858
116,all-mpnet-base-v2,18.767999999999997,15.4864
117,granite-embedding-125m-english,14.069999999999999,23.693400000000004
118,e5-base-4k,15.806999999999999,20.7286
119,bge-small-en-v1.5,14.2115,23.0864
120,mmlw-e5-base,22.358,12.9778
121,NoInstruct-small-Embedding-v0,14.62,20.891000000000002
122,GIST-small-Embedding-v0,15.048,20.229400000000002
123,granite-embedding-30m-english,15.502500000000003,18.461
124,MedEmbed-small-v0.1,13.74,22.1312
125,udever-bloom-7b1,9.213000000000001,23.7205
126,e5-small-v2,11.619,21.909399999999998
127,e5-large,14.4195,17.4624
128,snowflake-arctic-embed-l,14.617999999999999,17.149399999999996
129,Ivysaur,11.3665,20.219
130,all-MiniLM-L12-v2,11.253,17.357400000000002
131,GIST-all-MiniLM-L6-v2,12.227,14.510200000000001
132,snowflake-arctic-embed-m,12.787500000000001,13.863799999999998
133,gemini-embedding-2-preview,,71.934
134,MoD-Embedding,,70.17
135,Cohere-embed-v4.0,,69.308
136,Cohere-embed-v4.0 (output_dtype=int8),,69.162
137,snowflake-arctic-embed-m-v1.5,11.179,13.477400000000001
138,Octen-Embedding-4B,,67.502
139,Bulbasaur,7.1419999999999995,15.3494
140,e5-base,11.453,12.320400000000001
141,voyage-4-large (embed_dim=2048),,67.207
142,gte-multilingual-base,,66.434
143,Octen-Embedding-4B-INT8,,66.217
144,Octen-Embedding-8B-INT8,,65.922
145,Venusaur,5.497,13.589199999999998
146,voyage-4-large,,65.168
147,Wartortle,5.3405000000000005,13.664599999999998
148,mmlw-e5-small,12.647,8.241800000000001
149,slx-v0.1,11.225999999999999,9.6896
150,Cohere-embed-v4.0 (output_dtype=binary),,63.395999999999994
151,all-MiniLM-L6-v2,11.225999999999999,9.6896
152,voyage-4,,63.278999999999996
153,Octen-Embedding-0.6B,,63.121
154,gte-micro-v4,7.643,12.6244
155,udever-bloom-3b,2.971,16.7895
156,voyage-3.5 (output_dtype=int8),,61.516999999999996
157,e5-small,8.308499999999999,9.2834
158,Squirtle,4.8825,12.659199999999998
159,PIXIE-Rune-v1.0,,59.638000000000005
160,voyage-4-lite,,54.096
161,snowflake-arctic-embed-s,8.1525,8.6038
162,voyage-3.5 (output_dtype=binary),,50.575
163,bge-m3-unsupervised,,43.126999999999995
164,gemma-2b-embeddings,2.2065,14.4932
165,mmlw-roberta-base,8.661000000000001,6.1058
166,potion-base-8M,3.827,8.730599999999999
167,mmlw-roberta-large,8.1905,5.5794
168,snowflake-arctic-embed-xs,7.103,6.207199999999999
169,rubert-base-cased-sentence,4.3305,7.468
170,potion-base-4M,3.418,7.9898
171,cai-lunaris-text-embeddings,5.3205,5.2364
172,gte-micro,4.0865,6.7654000000000005
173,M2V_base_output,2.7765,8.1738
174,ru-en-RoSBERTa,4.840999999999999,4.888199999999999
175,M2V_base_glove_subword,2.6824999999999997,7.8344
176,bge-base-zh-v1.5,,24.126
177,LaBSE-en-ru,4.516,3.2009999999999996
178,LaBSE-ru-turbo,4.6415,3.1084
179,potion-base-2M,2.4015,6.7576
180,udever-bloom-560m,1.4705,8.1498
181,rubert-tiny-turbo,2.9949999999999997,2.1796
182,silma-embeddding-matryoshka-v0.1,2.8575,2.22
183,baseline-bm25s,2.228,4.2620000000000005
184,bge-large-zh-v1.5,,19.855
185,Arabic-mpnet-base-all-nli-triplet,2.088,3.7954000000000003
186,Arabert-all-nli-triplet-Matryoshka,2.6335,2.171
187,granite-embedding-english-r2,,17.593
188,M2V_base_glove,2.3994999999999997,1.5584
189,German_Semantic_STS_V2,2.238,1.4702000000000002
190,Marbert-all-nli-triplet-Matryoshka,1.9605000000000001,1.951
191,jina-embeddings-v2-small-en,1.867,1.8998000000000002
192,ternary-weight-embedding,1.204,2.3518
193,rubert-tiny2,1.9209999999999998,1.4632
194,sbert_large_mt_nlu_ru,1.6975,1.2818
195,bge-large-en,,12.879
196,gte-base-en-v1.5,,12.726
197,rubert-tiny,1.44,1.2328000000000001
198,bge-base-en,,11.887
199,jina-embeddings-v2-base-en,1.385,1.0744
200,bge-small-zh-v1.5,,11.478
201,granite-embedding-small-english-r2,,10.684000000000001
202,sbert_large_nlu_ru,1.302,0.9643999999999999
203,distilrubert-small-cased-conversational,0.8845000000000001,1.057
204,deberta-v1-base,1.0175,0.9900000000000001
205,text2vec-base-chinese,,9.248000000000001
206,M2V_multilingual_output,,8.551
207,baseline-random-encoder,0.8744999999999999,0.8133999999999999
208,static-retrieval-mrl-en-v1,,6.744999999999999
209,multi-qa-MiniLM-L6-cos-v1,,2.624
210,USER-bge-m3,,0.413
211,USER-base,,0.336
212,rubert-base-cased,,0.301
213,jina-embedding-s-en-v1,,0.158
214,jina-embedding-b-en-v1,,0.083
