,Model,BelebeleRetrieval,MIRACLRetrievalHardNegatives
0,Qwen3-Embedding-8B,98.37166666666667,74.369
1,gemini-embedding-001,96.332,75.49900000000001
2,llama-embed-nemotron-8b,96.01733333333333,78.015
3,harrier-oss-v1-27b,95.693,72.418
4,Qwen3-Embedding-4B,94.91266666666668,72.497
5,pplx-embed-v1-0.6b,94.93366666666667,70.825
6,pplx-embed-v1-4b,96.74933333333334,68.70100000000001
7,F2LLM-v2-14B,94.45366666666666,70.072
8,Octen-Embedding-8B,98.632,66.696
9,embeddinggemma-300m,94.82966666666667,68.821
10,BidirLM-1.7B-Embedding,93.269,70.889
11,jina-embeddings-v5-text-small,94.055,69.057
12,jina-embeddings-v5-text-nano,93.82933333333334,69.08800000000001
13,KaLM-Embedding-Gemma3-12B-2511,95.49133333333333,66.57600000000001
14,F2LLM-v2-8B,94.82333333333334,68.159
15,BOOM_4B_v1,93.90666666666667,68.411
16,Cohere-embed-multilingual-v3.0,92.44466666666668,69.61500000000001
17,bge-m3,91.49433333333333,72.937
18,gte-Qwen2-1.5B-instruct,93.34700000000001,68.765
19,BidirLM-1B-Embedding,92.96300000000001,69.075
20,inf-retriever-v1,95.81466666666665,64.23299999999999
21,BidirLM-Omni-2.5B-Embedding,93.58400000000002,66.46
22,F2LLM-v2-4B,93.72633333333334,66.143
23,Seed1.6-embedding-1215,96.48366666666666,61.80799999999999
24,harrier-oss-v1-0.6b,91.27766666666666,69.518
25,jina-embeddings-v4,93.16933333333334,66.55799999999999
26,zembed-1,94.40466666666666,64.046
27,inf-retriever-v1-1.5b,93.03266666666666,65.544
28,voyage-3-large,95.93466666666667,59.11300000000001
29,BidirLM-0.6B-Embedding,90.763,67.161
30,F2LLM-v2-1.7B,93.39633333333333,62.797000000000004
31,snowflake-arctic-embed-l-v2.0,90.79866666666666,66.53999999999999
32,jina-embeddings-v3,90.82900000000001,66.40899999999999
33,gte-Qwen2-7B-instruct,94.95233333333334,56.46099999999999
34,voyage-3.5,93.39666666666666,61.498
35,Qwen3-Embedding-0.6B,91.92300000000002,63.075
36,text-embedding-3-large,93.12700000000001,60.814
37,NV-Embed-v2,91.38100000000001,62.126999999999995
38,GritLM-7B,93.59100000000001,53.053
39,bge-m3-custom-fr,89.95633333333333,63.818
40,F2LLM-v2-0.6B,91.62066666666666,59.19799999999999
41,Solon-embeddings-large-0.1,91.838,58.572
42,multilingual-e5-base,87.49133333333333,64.971
43,bilingual-embedding-large,92.484,53.937999999999995
44,multilingual-e5-large-instruct,91.65166666666667,57.202
45,granite-embedding-278m-multilingual,87.28266666666667,63.505
46,Cohere-embed-multilingual-light-v3.0,86.04233333333333,64.446
47,voyage-3,91.96933333333334,53.15
48,text-multilingual-embedding-002,90.58766666666665,59.287
49,NV-Embed-v1,91.665,53.916
50,multilingual-e5-small,84.13666666666666,63.91
51,SFR-Embedding-Mistral,90.513,58.047000000000004
52,Linq-Embed-Mistral,91.31333333333332,51.99700000000001
53,harrier-oss-v1-270m,86.21966666666667,61.646
54,granite-embedding-107m-multilingual,86.492,60.865
55,bilingual-embedding-base,90.143,54.82
56,KaLM-embedding-multilingual-mini-v1,91.06666666666668,49.683
57,e5-mistral-7b-instruct,89.47033333333333,57.803000000000004
58,F2LLM-v2-330M,89.84033333333333,55.742999999999995
59,BidirLM-270M-Embedding,86.44500000000001,57.95099999999999
60,GritLM-8x7B,90.68,47.313
61,snowflake-arctic-embed-m-v2.0,83.73400000000001,59.185
62,voyage-3-lite,90.18599999999999,46.408
63,jasper_en_vision_language_v1,90.51,30.829
64,F2LLM-v2-160M,86.81333333333333,51.296
65,gte-Qwen1.5-7B-instruct,89.73266666666667,45.895
66,SFR-Embedding-2_R,88.26433333333334,46.247
67,stella_en_1.5B_v5,89.71333333333332,25.013999999999996
68,bilingual-embedding-small,85.84833333333334,48.474000000000004
69,F2LLM-v2-80M,83.82366666666667,48.3
70,Arabic-all-nli-triplet-Matryoshka,80.43299999999999,24.339
71,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,75.65933333333334,24.15
72,paraphrase-multilingual-mpnet-base-v2,81.10533333333333,18.916
73,Arabic-MiniLM-L12-v2-all-nli-triplet,72.41766666666666,20.730999999999998
74,paraphrase-multilingual-MiniLM-L12-v2,77.00200000000001,19.191
75,Arabic-labse-Matryoshka,71.96733333333333,19.909
76,KaLM-embedding-multilingual-mini-instruct-v1,80.89633333333333,15.158
77,static-similarity-mrl-multilingual-v1,65.988,17.904
78,LaBSE,71.54833333333332,14.327000000000002
79,potion-multilingual-128M,54.093999999999994,14.625
80,text2vec-base-multilingual,47.042,14.488000000000001
81,arabic-english-sts-matryoshka,67.666,10.098
82,STS-multilingual-mpnet-base-v2,70.90299999999999,9.753
83,Cohere-embed-english-v3.0,34.888000000000005,12.661
84,sgpt-bloom-7b1-msmarco,31.91,10.983
85,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,39.285,9.157
86,sentence_croissant_alpha_v0.3,40.05866666666667,8.217
87,sentence_croissant_alpha_v0.4,39.91766666666667,7.613
88,Euler-Legal-Embedding-V1,98.71366666666667,
89,UAE-Large-V1,24.861,9.826
90,Cohere-embed-english-light-v3.0,25.97066666666667,8.263
91,bge-large-en-v1.5,24.722,9.19
92,gemini-embedding-2-preview,,71.934
93,sentence_croissant_alpha_v0.2,35.126666666666665,5.556
94,nomic-embed-text-v1-ablated,25.99266666666667,7.323
95,nomic-embed-text-v1-unsupervised,29.110666666666667,6.812
96,MoD-Embedding,,70.17
97,gte-large,26.349666666666664,6.970999999999999
98,e5-base-v2,26.932666666666666,6.008
99,Cohere-embed-v4.0,,69.308
100,Cohere-embed-v4.0 (output_dtype=int8),,69.162
101,bge-base-en-v1.5,24.092666666666666,8.291
102,mxbai-embed-large-v1,24.142333333333333,8.164
103,granite-embedding-125m-english,23.024,8.463
104,e5-large-v2,30.429333333333336,5.0840000000000005
105,gte-base,25.901999999999997,5.83
106,Octen-Embedding-4B,,67.502
107,bge-small-en-v1.5,22.746333333333336,7.377000000000001
108,gte-small,24.313333333333333,5.912
109,voyage-4-large (embed_dim=2048),,67.207
110,GIST-large-Embedding-v0,25.345000000000002,5.339
111,gte-multilingual-base,,66.434
112,Octen-Embedding-4B-INT8,,66.217
113,GIST-Embedding-v0,24.871333333333332,4.496
114,multilingual-e5-large,92.06733333333334,
115,Octen-Embedding-8B-INT8,,65.922
116,voyage-4-large,,65.168
117,udever-bloom-1b1,23.318,4.709
118,snowflake-arctic-embed-l,17.966666666666665,7.183000000000001
119,stella_en_400M_v5,35.02733333333334,2.2110000000000003
120,nomic-embed-text-v1,25.653333333333332,2.93
121,MedEmbed-small-v0.1,22.186333333333334,5.018000000000001
122,Cohere-embed-v4.0 (output_dtype=binary),,63.395999999999994
123,e5-small-v2,21.328,4.817
124,voyage-4,,63.278999999999996
125,Octen-Embedding-0.6B,,63.121
126,embedder-100p,34.49166666666667,1.374
127,NoInstruct-small-Embedding-v0,21.562666666666665,4.319
128,stella-base-en-v2,22.421,3.7150000000000003
129,voyage-3.5 (output_dtype=int8),,61.516999999999996
130,Bulbasaur,14.277000000000001,5.369
131,nomic-embed-text-v1.5,24.23033333333333,2.463
132,Ivysaur,19.956333333333333,4.09
133,granite-embedding-30m-english,19.914,3.826
134,PIXIE-Rune-v1.0,,59.638000000000005
135,GIST-small-Embedding-v0,21.288333333333334,3.5130000000000003
136,Venusaur,12.237666666666664,5.514
137,text-embedding-3-small,87.76666666666667,
138,snowflake-arctic-embed-m-v1.5,14.274666666666667,4.0969999999999995
139,Wartortle,12.416,4.508
140,e5-base-4k,22.193666666666665,2.095
141,Squirtle,11.407666666666666,4.614999999999999
142,gte-micro-v4,12.447000000000001,3.726
143,voyage-4-lite,,54.096
144,gemma-2b-embeddings,12.259666666666668,3.321
145,all-MiniLM-L12-v2,17.80466666666667,2.465
146,mmlw-e5-large,23.343000000000004,0.488
147,snowflake-arctic-embed-m-long,22.355333333333334,0.9480000000000001
148,voyage-3.5 (output_dtype=binary),,50.575
149,e5-large,19.027,1.989
150,all-mpnet-base-v2,18.824666666666666,2.02
151,snowflake-arctic-embed-m,15.437000000000001,2.2720000000000002
152,baseline-bm25s,3.379666666666667,5.4879999999999995
153,speed-embedding-7b-instruct,59.85699999999999,
154,potion-base-8M,8.036,3.091
155,bge-m3-unsupervised,,43.126999999999995
156,SearchMap_Preview,44.6935,
157,e5-base,13.775666666666666,1.854
158,bge-base-zh-v1.5,,24.126
159,M2V_base_output,7.227,3.06
160,potion-base-4M,7.316666666666667,2.8850000000000002
161,bge-large-zh-v1.5,,19.855
162,GIST-all-MiniLM-L6-v2,16.058,0.657
163,M2V_base_glove_subword,6.944999999999999,2.867
164,granite-embedding-english-r2,,17.593
165,gte-micro,6.574999999999999,2.55
166,slx-v0.1,11.634666666666666,1.0919999999999999
167,all-MiniLM-L6-v2,11.634666666666666,1.0919999999999999
168,e5-small,10.278333333333334,1.3639999999999999
169,udever-bloom-560m,6.8870000000000005,2.368
170,mmlw-e5-base,18.242333333333335,0.151
171,bge-large-en,,12.879
172,gte-base-en-v1.5,,12.726
173,potion-base-2M,6.053,2.273
174,bge-base-en,,11.887
175,snowflake-arctic-embed-s,9.706333333333333,1.086
