,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
0,1,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),50%,6.946,7.567,4096.0,32768.0,86.37,86.37,86.37
1,2,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),50%,,,3072.0,2048.0,85.92,85.92,85.92
2,2,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),50%,6.98,7.505,4096.0,32768.0,87.02,87.02,87.02
3,4,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),50%,25.599,27.009,5376.0,131072.0,84.06,84.06,84.06
4,5,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),50%,3.634,4.022,2560.0,32768.0,83.7,83.7,83.7
5,6,[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),50%,0.44,0.596,1024.0,32768.0,82.88,82.88,82.88
6,7,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),50%,3.611,4.0,2560.0,32768.0,82.73,82.73,82.73
7,8,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),50%,13.214,13.99,5120.0,40960.0,82.26,82.26,82.26
8,9,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),50%,6.946,7.567,4096.0,32768.0,82.66,82.66,82.66
9,10,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),50%,0.106,0.308,768.0,2048.0,81.83,81.83,81.83
10,11,[BidirLM-1.7B-Embedding](https://huggingface.co/BidirLM/BidirLM-1.7B-Embedding),50%,1.409,1.721,2048.0,512.0,82.08,82.08,82.08
11,12,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,81.56,81.56,81.56
12,12,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,0.113,0.212,768.0,8192.0,81.46,81.46,81.46
13,14,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),50%,10.759,11.766,3840.0,32768.0,81.03,81.03,81.03
14,14,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),50%,6.947,7.568,4096.0,40960.0,81.49,81.49,81.49
15,16,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),50%,3.633,4.022,2560.0,32768.0,81.16,81.16,81.16
16,17,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,81.03,81.03,81.03
17,17,[bge-m3](https://huggingface.co/BAAI/bge-m3),50%,0.312,0.568,1024.0,8194.0,82.22,82.22,82.22
