,Model,MIRACLRetrievalHardNegatives
0,gemini-embedding-001,81.254
1,llama-embed-nemotron-8b,80.221
2,gemini-embedding-2-preview,80.128
3,bge-m3,78.574
4,harrier-oss-v1-27b,76.20700000000001
5,Cohere-embed-multilingual-v3.0,75.57300000000001
6,pplx-embed-v1-0.6b,74.265
7,voyage-4-large (embed_dim=2048),73.78099999999999
8,KaLM-Embedding-Gemma3-12B-2511,73.708
9,bge-m3-custom-fr,72.816
10,voyage-4-large,72.726
11,BidirLM-1B-Embedding,72.598
12,Qwen3-Embedding-8B,71.897
13,F2LLM-v2-8B,71.5
14,embeddinggemma-300m,71.426
15,pplx-embed-v1-4b,71.387
16,voyage-4,71.261
17,multilingual-e5-base,71.056
18,snowflake-arctic-embed-l-v2.0,70.819
19,gte-multilingual-base,69.92
20,F2LLM-v2-4B,69.78
21,F2LLM-v2-14B,69.71000000000001
22,Qwen3-Embedding-4B,68.944
23,harrier-oss-v1-0.6b,68.635
24,Cohere-embed-multilingual-light-v3.0,68.554
25,multilingual-e5-small,68.477
26,BidirLM-1.7B-Embedding,68.462
27,text-multilingual-embedding-002,68.377
28,multilingual-e5-large-instruct,68.367
29,MoD-Embedding,68.278
30,text-embedding-3-large,67.783
31,Solon-embeddings-large-0.1,67.663
32,F2LLM-v2-1.7B,67.64099999999999
33,voyage-3.5 (output_dtype=int8),67.131
34,voyage-3.5,66.926
35,Seed1.6-embedding-1215,66.605
36,USER-bge-m3,66.566
37,harrier-oss-v1-270m,66.291
38,PIXIE-Rune-v1.0,65.73
39,voyage-4-lite,65.473
40,Octen-Embedding-8B,65.066
41,GritLM-7B,64.887
42,Octen-Embedding-4B,64.149
43,Octen-Embedding-8B-INT8,63.931000000000004
44,jina-embeddings-v5-text-nano,63.43600000000001
45,Linq-Embed-Mistral,63.12799999999999
46,inf-retriever-v1-1.5b,62.987
47,gte-Qwen2-1.5B-instruct,62.698
48,Octen-Embedding-4B-INT8,62.255
49,SFR-Embedding-Mistral,62.163999999999994
50,F2LLM-v2-0.6B,62.09
51,bilingual-embedding-base,62.007
52,e5-mistral-7b-instruct,61.882000000000005
53,jina-embeddings-v5-text-small,61.794000000000004
54,granite-embedding-278m-multilingual,61.271
55,voyage-3-large,60.844
56,jina-embeddings-v4,59.949
57,jina-embeddings-v3,59.614999999999995
58,BOOM_4B_v1,59.526
59,bilingual-embedding-large,59.358
60,voyage-3,59.184000000000005
61,granite-embedding-107m-multilingual,59.111000000000004
62,KaLM-embedding-multilingual-mini-v1,58.994
63,NV-Embed-v2,58.906000000000006
64,Cohere-embed-v4.0,58.282999999999994
65,Cohere-embed-v4.0 (output_dtype=int8),58.187999999999995
66,inf-retriever-v1,57.934
67,bge-m3-unsupervised,57.302
68,F2LLM-v2-330M,57.276
69,BidirLM-0.6B-Embedding,57.189
70,GritLM-8x7B,56.726
71,BidirLM-Omni-2.5B-Embedding,56.724
72,voyage-3.5 (output_dtype=binary),55.025
73,Cohere-embed-v4.0 (output_dtype=binary),53.881
74,bilingual-embedding-small,53.734
75,snowflake-arctic-embed-m-v2.0,52.381
76,NV-Embed-v1,51.168
77,SFR-Embedding-2_R,51.065000000000005
78,F2LLM-v2-160M,50.46000000000001
79,voyage-3-lite,50.324000000000005
80,zembed-1,49.713
81,BidirLM-270M-Embedding,49.192
82,Qwen3-Embedding-0.6B,49.044
83,Octen-Embedding-0.6B,48.85
84,gte-Qwen2-7B-instruct,47.115
85,F2LLM-v2-80M,46.697
86,baseline-bm25s,40.954
87,gte-Qwen1.5-7B-instruct,38.773
88,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,37.527
89,KaLM-embedding-multilingual-mini-instruct-v1,36.946
90,snowflake-arctic-embed-l,33.717999999999996
91,bge-large-en,33.696
92,bge-base-en,33.654
93,snowflake-arctic-embed-m,31.78
94,bge-base-en-v1.5,31.608999999999998
95,snowflake-arctic-embed-s,31.079
96,Cohere-embed-english-light-v3.0,31.007
97,bge-small-en-v1.5,30.781
98,snowflake-arctic-embed-m-v1.5,30.448999999999998
99,snowflake-arctic-embed-xs,30.441000000000003
100,bge-large-en-v1.5,29.889
101,sgpt-bloom-7b1-msmarco,29.732999999999997
102,granite-embedding-small-english-r2,29.107
103,UAE-Large-V1,28.774
104,gte-small,28.212
105,nomic-embed-text-v1-ablated,28.159
106,e5-large,27.953
107,granite-embedding-english-r2,27.772999999999996
108,nomic-embed-text-v1-unsupervised,27.354
109,gte-large,27.302
110,granite-embedding-125m-english,27.147
111,Bulbasaur,26.878
112,mxbai-embed-large-v1,26.531
113,e5-small-v2,26.268
114,gte-base,26.162999999999997
115,Arabic-labse-Matryoshka,25.924000000000003
116,Ivysaur,25.767
117,e5-small,25.663999999999998
118,Cohere-embed-english-v3.0,25.34
119,Venusaur,25.264999999999997
120,MedEmbed-small-v0.1,25.167
121,snowflake-arctic-embed-m-long,25.046000000000003
122,e5-base,24.953
123,e5-base-v2,24.523
124,gte-micro-v4,23.956
