,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
0,1,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),0%,,,3072.0,2048.0,81.25,81.25,81.25
1,2,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),0%,6.98,7.505,4096.0,32768.0,80.22,80.22,80.22
2,3,[gemini-embedding-2-preview](https://ai.google.dev/gemini-api/docs/embeddings),0%,,,3072.0,2048.0,80.13,80.13,80.13
3,4,[bge-m3](https://huggingface.co/BAAI/bge-m3),0%,0.312,0.568,1024.0,8194.0,78.57,78.57,78.57
4,5,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),0%,25.599,27.009,5376.0,131072.0,76.21,76.21,76.21
5,6,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,75.57,75.57,75.57
6,7,[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),0%,0.44,0.596,1024.0,32768.0,74.27,74.27,74.27
7,8,[voyage-4-large (embed_dim=2048)](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,2048.0,32000.0,73.78,73.78,73.78
8,9,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),0%,10.759,11.766,3840.0,32768.0,73.71,73.71,73.71
9,10,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),0%,0.312,0.568,1024.0,8194.0,72.82,72.82,72.82
10,11,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,72.73,72.73,72.73
11,12,[BidirLM-1B-Embedding](https://huggingface.co/BidirLM/BidirLM-1B-Embedding),0%,0.698,1.0,1152.0,512.0,72.6,72.6,72.6
12,13,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),0%,6.946,7.567,4096.0,32768.0,71.9,71.9,71.9
13,14,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),0%,6.947,7.568,4096.0,40960.0,71.5,71.5,71.5
14,15,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),0%,0.106,0.308,768.0,2048.0,71.43,71.43,71.43
15,16,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),0%,3.611,4.0,2560.0,32768.0,71.39,71.39,71.39
16,17,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,71.26,71.26,71.26
17,18,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),0%,0.086,0.278,768.0,514.0,71.06,71.06,71.06
18,19,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),0%,0.312,0.568,1024.0,8192.0,70.82,70.82,70.82
19,20,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),0%,0.113,0.305,768.0,8192.0,69.92,69.92,69.92
20,21,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),0%,3.634,4.022,2560.0,40960.0,69.78,69.78,69.78
21,22,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),0%,13.214,13.99,5120.0,40960.0,69.71,69.71,69.71
22,23,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),0%,3.634,4.022,2560.0,32768.0,68.94,68.94,68.94
