config,model,query_type,n_queries,mean_ndcg10,ci_lo,ci_hi
it_finance,nemotron-8b,factual,N/A,46.36,N/A,N/A
it_finance,nemotron-8b,multi_hop,N/A,26.31,N/A,N/A
it_finance,nemotron-8b,summarization,N/A,68.75,N/A,N/A
it_law,nemotron-8b,factual,N/A,18.31,N/A,N/A
it_law,nemotron-8b,multi_hop,N/A,43.08,N/A,N/A
it_law,nemotron-8b,summarization,N/A,32.71,N/A,N/A
it_finance,ml-e5-small,factual,N/A,67.7,N/A,N/A
it_finance,ml-e5-small,multi_hop,N/A,56.85,N/A,N/A
it_finance,ml-e5-small,summarization,N/A,77.97,N/A,N/A
it_law,ml-e5-small,factual,N/A,37.58,N/A,N/A
it_law,ml-e5-small,multi_hop,N/A,45.65,N/A,N/A
it_law,ml-e5-small,summarization,N/A,47.95,N/A,N/A
it_finance,ml-e5-large,factual,N/A,64.12,N/A,N/A
it_finance,ml-e5-large,multi_hop,N/A,61.66,N/A,N/A
it_finance,ml-e5-large,summarization,N/A,79.84,N/A,N/A
it_law,ml-e5-large,factual,N/A,37.92,N/A,N/A
it_law,ml-e5-large,multi_hop,N/A,44.7,N/A,N/A
it_law,ml-e5-large,summarization,N/A,60.95,N/A,N/A
it_finance,Qwen3-4B,factual,N/A,72.04,N/A,N/A
it_finance,Qwen3-4B,multi_hop,N/A,79.36,N/A,N/A
it_finance,Qwen3-4B,summarization,N/A,83.31,N/A,N/A
it_law,Qwen3-4B,factual,N/A,47.01,N/A,N/A
it_law,Qwen3-4B,multi_hop,N/A,70.61,N/A,N/A
it_law,Qwen3-4B,summarization,N/A,60.34,N/A,N/A
