query_id,bge_m3_ndcg10,snowflake_ndcg10,delta
Q0,0.333333,0.000000,0.333333
Q1,1.000000,1.000000,0.000000
Q10,1.000000,1.000000,0.000000
Q100,1.000000,1.000000,0.000000
Q101,1.000000,1.000000,0.000000
Q102,1.000000,1.000000,0.000000
Q103,1.000000,1.000000,0.000000
Q104,1.000000,1.000000,0.000000
Q105,1.000000,0.630930,0.369070
Q106,1.000000,1.000000,0.000000
Q107,1.000000,0.500000,0.500000
Q108,1.000000,1.000000,0.000000
Q109,1.000000,1.000000,0.000000
Q11,1.000000,1.000000,0.000000
Q110,1.000000,1.000000,0.000000
Q111,1.000000,1.000000,0.000000
Q112,1.000000,1.000000,0.000000
Q113,1.000000,1.000000,0.000000
Q114,1.000000,1.000000,0.000000
Q115,1.000000,1.000000,0.000000
Q116,1.000000,1.000000,0.000000
Q117,1.000000,1.000000,0.000000
Q118,1.000000,1.000000,0.000000
Q119,1.000000,0.000000,1.000000
Q12,0.630930,0.000000,0.630930
Q120,1.000000,1.000000,0.000000
Q121,1.000000,1.000000,0.000000
Q122,1.000000,1.000000,0.000000
Q123,0.630930,0.000000,0.630930
Q124,1.000000,0.333333,0.666667
Q125,1.000000,1.000000,0.000000
Q126,1.000000,1.000000,0.000000
Q127,1.000000,1.000000,0.000000
Q128,1.000000,0.500000,0.500000
Q129,1.000000,1.000000,0.000000
Q13,1.000000,1.000000,0.000000
Q130,1.000000,0.289065,0.710935
Q131,1.000000,0.000000,1.000000
Q132,1.000000,1.000000,0.000000
Q133,1.000000,1.000000,0.000000
Q134,1.000000,1.000000,0.000000
Q135,1.000000,1.000000,0.000000
Q136,1.000000,1.000000,0.000000
Q137,1.000000,1.000000,0.000000
Q138,1.000000,1.000000,0.000000
Q139,1.000000,0.430677,0.569323
Q14,1.000000,1.000000,0.000000
Q140,1.000000,1.000000,0.000000
Q141,1.000000,1.000000,0.000000
Q142,1.000000,1.000000,0.000000
Q143,1.000000,1.000000,0.000000
Q144,1.000000,1.000000,0.000000
Q145,1.000000,0.000000,1.000000
Q146,1.000000,0.000000,1.000000
Q147,1.000000,0.000000,1.000000
Q148,1.000000,1.000000,0.000000
Q149,1.000000,0.000000,1.000000
Q15,1.000000,1.000000,0.000000
Q150,1.000000,0.333333,0.666667
Q151,1.000000,0.000000,1.000000
Q152,1.000000,0.000000,1.000000
Q153,1.000000,1.000000,0.000000
Q154,0.630930,1.000000,-0.369070
Q155,1.000000,1.000000,0.000000
Q156,1.000000,1.000000,0.000000
Q157,1.000000,1.000000,0.000000
Q158,1.000000,1.000000,0.000000
Q159,1.000000,0.000000,1.000000
Q16,1.000000,0.000000,1.000000
Q160,1.000000,0.000000,1.000000
Q161,1.000000,1.000000,0.000000
Q162,1.000000,1.000000,0.000000
Q163,1.000000,1.000000,0.000000
Q164,1.000000,1.000000,0.000000
Q165,1.000000,1.000000,0.000000
Q166,0.630930,0.000000,0.630930
Q167,1.000000,0.000000,1.000000
Q168,1.000000,1.000000,0.000000
Q169,1.000000,0.000000,1.000000
Q17,1.000000,1.000000,0.000000
Q170,1.000000,0.386853,0.613147
Q171,0.000000,0.000000,0.000000
Q172,0.630930,0.500000,0.130930
Q173,1.000000,0.430677,0.569323
Q174,1.000000,0.630930,0.369070
Q175,1.000000,0.000000,1.000000
Q176,1.000000,1.000000,0.000000
Q177,1.000000,0.000000,1.000000
Q178,1.000000,0.333333,0.666667
Q179,1.000000,1.000000,0.000000
Q18,1.000000,1.000000,0.000000
Q180,0.630930,1.000000,-0.369070
Q181,1.000000,1.000000,0.000000
Q182,1.000000,0.500000,0.500000
Q183,1.000000,1.000000,0.000000
Q184,1.000000,1.000000,0.000000
Q185,1.000000,0.630930,0.369070
Q186,1.000000,1.000000,0.000000
Q187,1.000000,1.000000,0.000000
Q188,1.000000,1.000000,0.000000
Q189,1.000000,1.000000,0.000000
Q19,1.000000,1.000000,0.000000
Q190,1.000000,1.000000,0.000000
Q191,1.000000,1.000000,0.000000
Q192,1.000000,1.000000,0.000000
Q193,1.000000,1.000000,0.000000
Q194,1.000000,1.000000,0.000000
Q195,1.000000,1.000000,0.000000
Q196,1.000000,1.000000,0.000000
Q197,1.000000,1.000000,0.000000
Q198,1.000000,0.630930,0.369070
Q199,1.000000,1.000000,0.000000
Q2,1.000000,1.000000,0.000000
Q20,1.000000,1.000000,0.000000
Q200,1.000000,0.386853,0.613147
Q201,0.630930,1.000000,-0.369070
Q202,1.000000,1.000000,0.000000
Q203,1.000000,1.000000,0.000000
Q204,1.000000,0.315465,0.684535
Q205,1.000000,0.630930,0.369070
Q206,1.000000,1.000000,0.000000
Q207,1.000000,1.000000,0.000000
Q208,1.000000,0.386853,0.613147
Q209,1.000000,1.000000,0.000000
Q21,1.000000,1.000000,0.000000
Q210,1.000000,1.000000,0.000000
Q211,1.000000,1.000000,0.000000
Q212,1.000000,1.000000,0.000000
Q213,1.000000,1.000000,0.000000
Q214,1.000000,1.000000,0.000000
Q215,1.000000,1.000000,0.000000
Q216,1.000000,0.630930,0.369070
Q217,1.000000,1.000000,0.000000
Q218,1.000000,1.000000,0.000000
Q219,1.000000,1.000000,0.000000
Q22,1.000000,1.000000,0.000000
Q220,1.000000,1.000000,0.000000
Q221,1.000000,0.630930,0.369070
Q222,1.000000,0.000000,1.000000
Q223,1.000000,1.000000,0.000000
Q224,1.000000,1.000000,0.000000
Q225,1.000000,1.000000,0.000000
Q226,1.000000,1.000000,0.000000
Q227,1.000000,0.301030,0.698970
Q228,1.000000,0.000000,1.000000
Q229,1.000000,0.630930,0.369070
Q23,1.000000,1.000000,0.000000
Q230,1.000000,1.000000,0.000000
Q231,1.000000,1.000000,0.000000
Q232,1.000000,1.000000,0.000000
Q233,1.000000,1.000000,0.000000
Q234,1.000000,1.000000,0.000000
Q235,1.000000,0.630930,0.369070
Q236,1.000000,1.000000,0.000000
Q237,1.000000,1.000000,0.000000
Q238,1.000000,0.000000,1.000000
Q239,1.000000,1.000000,0.000000
Q24,1.000000,1.000000,0.000000
Q240,1.000000,1.000000,0.000000
Q241,0.630930,0.000000,0.630930
Q242,1.000000,1.000000,0.000000
Q243,0.630930,1.000000,-0.369070
Q244,1.000000,1.000000,0.000000
Q245,1.000000,1.000000,0.000000
Q246,1.000000,1.000000,0.000000
Q247,1.000000,1.000000,0.000000
