model_id,language_iso,lang_avg_ndcg,tier
bge-m3,ita,0.914135,curated
Qwen3-0.6B,ita,0.904775,curated
Qwen3-4B,ita,0.938345,curated
Qwen3-8B,ita,0.95882,curated
nemotron-8b,ita,0.952585,curated
harrier-0.6b,ita,0.89164,curated
voyage-3.5,ita,0.9368,curated
KaLM-Gemma3-12B,ita,0.946235,curated
embeddinggemma-300m,ita,0.9295,curated
inf-retriever-v1,ita,0.948505,curated
F2LLM-v2-4B,ita,0.926625,curated
F2LLM-v2-8B,ita,0.93121,curated
F2LLM-v2-14B,ita,0.932265,curated
BOOM-4B,ita,0.937265,curated
jina-v5-small,ita,0.93222,curated
pplx-embed-0.6b,ita,0.936845,curated
pplx-embed-4b,ita,0.954995,curated
zembed-1,ita,0.93107,curated
GritLM-7B,ita,0.95001,curated
Seed1.6-embed,ita,0.94836,curated
BidirLM-1B,ita,0.8982049999999999,curated
BidirLM-2.5B,ita,0.90541,curated
granite-311m,ita,0.888015,curated
jina-v5-nano,ita,0.9251,curated
ml-e5-small,jpn,0.716655,curated
bge-m3,jpn,0.816615,curated
Qwen3-0.6B,jpn,0.765205,curated
Qwen3-4B,jpn,0.8343050000000001,curated
Qwen3-8B,jpn,0.8622449999999999,curated
nemotron-8b,jpn,0.8658950000000001,curated
harrier-0.6b,jpn,0.792705,curated
voyage-3.5,jpn,0.76285,curated
KaLM-Gemma3-12B,jpn,0.81104,curated
embeddinggemma-300m,jpn,0.81429,curated
inf-retriever-v1,jpn,0.795255,curated
F2LLM-v2-4B,jpn,0.798495,curated
F2LLM-v2-8B,jpn,0.81516,curated
F2LLM-v2-14B,jpn,0.826395,curated
BOOM-4B,jpn,0.801615,curated
jina-v5-small,jpn,0.81256,curated
pplx-embed-0.6b,jpn,0.822765,curated
pplx-embed-4b,jpn,0.824655,curated
zembed-1,jpn,0.78352,curated
GritLM-7B,jpn,0.71794,curated
Seed1.6-embed,jpn,0.787345,curated
BidirLM-1B,jpn,0.80928,curated
BidirLM-2.5B,jpn,0.795415,curated
granite-311m,jpn,0.7413350000000001,curated
jina-v5-nano,jpn,0.809625,curated
bge-m3,hin,0.66353,curated
Qwen3-0.6B,hin,0.6488975,curated
Qwen3-4B,hin,0.7905949999999999,curated
Qwen3-8B,hin,0.819995,curated
nemotron-8b,hin,0.8145775000000001,curated
harrier-0.6b,hin,0.6539,curated
voyage-3.5,hin,0.6755599999999999,curated
KaLM-Gemma3-12B,hin,0.7958700000000001,curated
embeddinggemma-300m,hin,0.7317275,curated
inf-retriever-v1,hin,0.7492375,curated
F2LLM-v2-4B,hin,0.76436,curated
F2LLM-v2-8B,hin,0.7750775000000001,curated
F2LLM-v2-14B,hin,0.7763625000000001,curated
BOOM-4B,hin,0.7499425000000001,curated
jina-v5-small,hin,0.7421975000000001,curated
pplx-embed-0.6b,hin,0.714655,curated
pplx-embed-4b,hin,0.774845,curated
zembed-1,hin,0.75169,curated
GritLM-7B,hin,0.6416525,curated
Seed1.6-embed,hin,0.7517375,curated
BidirLM-1B,hin,0.7001875,curated
