model_id,mteb_agg,tier,global_rank
KaLM-Gemma3-12B,0.7460191580175214,curated,1
Qwen3-8B,0.7011732154064344,curated,2
harrier-0.6b,0.7005492503270024,curated,3
Qwen3-4B,0.6884391099253925,curated,4
pplx-embed-4b,0.6880071057326594,curated,5
nemotron-8b,0.6792618356809824,curated,6
inf-retriever-v1,0.6582554209116666,curated,7
F2LLM-v2-14B,0.6573126699624887,curated,8
Seed1.6-embed,0.6531624064558841,curated,9
F2LLM-v2-8B,0.6519200175830773,curated,10
pplx-embed-0.6b,0.6479862135690565,curated,11
granite-311m,0.6421271533624284,curated,12
jina-v5-small,0.6409723057736687,curated,13
Qwen3-0.6B,0.6401159304892171,curated,14
F2LLM-v2-4B,0.6389845399100341,curated,15
voyage-3.5,0.6323517952161164,curated,16
jina-v5-nano,0.6279378338925208,curated,17
zembed-1,0.6241394262432121,curated,18
embeddinggemma-300m,0.6163876906045122,curated,19
BOOM-4B,0.612188283646398,curated,20
BidirLM-2.5B,0.6038169612937767,curated,21
GritLM-7B,0.5744762758670253,curated,22
BidirLM-1B,0.559948931779469,curated,23
bge-m3,0.5433688072053093,curated,24
ml-e5-small,0.5079275072670913,curated,25
Qwen3-8B,0.7011732154064344,restricted,1
harrier-0.6b,0.7005492503270024,restricted,2
Qwen3-4B,0.6884391099253925,restricted,3
nemotron-8b,0.6792618356809824,restricted,4
Qwen3-0.6B,0.6401159304892171,restricted,5
bge-m3,0.5433688072053093,restricted,6
ml-e5-small,0.5079275072670913,restricted,7
granite-97m-r2,0.5952228935637494,extended,28
