task_name,classification,is_canonical_english
AILAStatutes,english_derived,False
ArguAna,english_derived,True
BelebeleRetrieval,multilingual,False
CovidRetrieval,multilingual,False
HagridRetrieval,english_derived,True
LEMBPasskeyRetrieval,english_derived,False
LegalBenchCorporateLobbying,english_derived,True
MIRACLRetrievalHardNegatives,multilingual,False
MLQARetrieval,multilingual,False
SCIDOCS,english_derived,True
SpartQA,english_derived,False
StackOverflowQA,english_derived,True
StatcanDialogueDatasetRetrieval,multilingual,False
TRECCOVID,english_derived,True
TempReasonL1,english_derived,False
TwitterHjerneRetrieval,multilingual,False
WikipediaRetrievalMultilingual,multilingual,False
WinoGrande,english_derived,False
