language_iso,aggregator,n_models,kendall_tau,tau_ci_lo,tau_ci_hi,inversion_rate,top1_regret
ita,mean_18_full,24,0.36231884057971014,0.011406844106463877,0.6704119850187266,0.3188405797101449,0.012584999999999957
ita,mean_7_multilingual,24,0.5072463768115942,0.2061068702290076,0.7538461538461539,0.2463768115942029,0.012584999999999957
ita,mean_11_english,24,0.2826086956521739,-0.08045977011494256,0.636381186381186,0.358695652173913,0.012584999999999957
jpn,mean_18_full,25,0.33333333333333326,0.0313588850174216,0.6041666666666667,0.3333333333333333,0.0548550000000001
jpn,mean_7_multilingual,25,0.46666666666666656,0.1752577319587629,0.7031802120141342,0.26666666666666666,0.0548550000000001
jpn,mean_11_english,25,0.25999999999999995,-0.06529209621993129,0.5618540194346286,0.37,0.0548550000000001
hin,mean_18_full,24,0.463768115942029,0.16349809885931557,0.7120622568093384,0.26811594202898553,0.024124999999999952
hin,mean_7_multilingual,24,0.782608695652174,0.6356589147286822,0.8976377952755905,0.10869565217391304,0.024124999999999952
hin,mean_11_english,24,0.3695652173913043,0.04505500131652093,0.670414137500538,0.31521739130434784,0.024124999999999952
fra,mean_18_full,25,0.25333333333333324,-0.04321089840930021,0.5034965034965035,0.37333333333333335,0.04110999999999998
fra,mean_7_multilingual,25,0.33333333333333326,0.04105415623312225,0.5972222222222223,0.3333333333333333,0.04110999999999998
fra,mean_11_english,25,0.21999999999999997,-0.08965517241379309,0.4857193158953722,0.39,0.04110999999999998
ind,mean_18_full,25,0.25999999999999995,-0.0807160126464571,0.5578947368421051,0.37,0.03742500000000004
ind,mean_7_multilingual,25,0.3666666666666666,0.03774852724594998,0.6363953120050676,0.31666666666666665,0.03742500000000004
ind,mean_11_english,25,0.19999999999999996,-0.15682193288098292,0.522499241182541,0.4,0.03742500000000004
tel,mean_18_full,25,0.25999999999999995,-0.05226480836236934,0.5244755244755245,0.37,0.03212000000000004
tel,mean_7_multilingual,25,0.4999999999999999,0.1862068965517241,0.7500000000000001,0.25,0.03212000000000004
tel,mean_11_english,25,0.18666666666666662,-0.12112836526289135,0.4634146341463415,0.4066666666666667,0.03212000000000004
kor,mean_18_full,25,0.2799999999999999,-0.013700991969768539,0.5454545454545454,0.36,0.052709999999999924
kor,mean_7_multilingual,25,0.46666666666666656,0.16901408450704222,0.7113624564266111,0.26666666666666666,0.052709999999999924
kor,mean_11_english,25,0.23333333333333328,-0.07958477508650519,0.5294117647058824,0.38333333333333336,0.052709999999999924
swa,mean_18_full,25,0.29999999999999993,0.017179198479997188,0.5586231439440422,0.35,0.0012200000000001099
swa,mean_7_multilingual,25,0.29999999999999993,-0.020836975524475523,0.5833333333333334,0.35,0.0012200000000001099
swa,mean_11_english,25,0.23999999999999996,-0.05339034936670109,0.5155709342560554,0.38,0.0012200000000001099
fas,mean_18_full,24,0.3043478260869565,-0.026415094339622643,0.6031469597537598,0.34782608695652173,0.02354333333333336
fas,mean_7_multilingual,24,0.5507246376811594,0.26996197718631176,0.7777989821882949,0.2246376811594203,0.02354333333333336
fas,mean_11_english,24,0.2391304347826087,-0.10945476719994258,0.5698113207547171,0.3804347826086957,0.02354333333333336
tha,mean_18_full,25,0.3199999999999999,-0.006897749042145592,0.5945017182130585,0.34,0.03553499999999998
tha,mean_7_multilingual,25,0.4933333333333333,0.19580419580419578,0.7122819033886084,0.25333333333333335,0.03553499999999998
tha,mean_11_english,25,0.24666666666666665,-0.0902777777777778,0.5422535211267605,0.37666666666666665,0.03553499999999998
rus,mean_18_full,25,0.3399999999999999,0.034482758620689655,0.5999999999999999,0.33,0.04410000000000003
rus,mean_7_multilingual,25,0.5266666666666665,0.25874125874125875,0.7421602787456446,0.23666666666666666,0.04410000000000003
rus,mean_11_english,25,0.2799999999999999,-0.05965966152129438,0.5836399798106038,0.36,0.04410000000000003
zho,mean_18_full,25,0.39333333333333326,0.11034482758620688,0.6332326136751302,0.30333333333333334,0.033916666666666706
zho,mean_7_multilingual,25,0.5266666666666665,0.25435540069686413,0.7473684210526315,0.23666666666666666,0.033916666666666706
zho,mean_11_english,25,0.35999999999999993,0.0584192439862543,0.6332179930795848,0.32,0.033916666666666706
deu,mean_18_full,24,0.41304347826086957,0.1144821304649549,0.6742424242424242,0.29347826086956524,0.030252500000000015
deu,mean_7_multilingual,24,0.5579710144927535,0.32830188679245287,0.7453183520599251,0.2210144927536232,0.030252500000000015
deu,mean_11_english,24,0.34782608695652173,0.023428485576923085,0.6616541353383459,0.32608695652173914,0.030252500000000015
ben,mean_18_full,24,0.42028985507246375,0.08679245283018867,0.6858350236646382,0.2898550724637681,0.026450000000000085
ben,mean_7_multilingual,24,0.7391304347826086,0.5984848484848484,0.8636363636363635,0.13043478260869565,0.026450000000000085
ben,mean_11_english,24,0.32608695652173914,-0.03817527891955372,0.6498150641357575,0.33695652173913043,0.026450000000000085
ara,mean_18_full,25,0.45333333333333325,0.1678321678321678,0.6895337980829079,0.2733333333333333,0.03924000000000005
ara,mean_7_multilingual,25,0.7999999999999998,0.6445993031358885,0.9157894736842103,0.1,0.03924000000000005
ara,mean_11_english,25,0.3533333333333333,0.0352112676056338,0.6421052631578946,0.3233333333333333,0.03924000000000005
spa,mean_18_full,25,0.4866666666666665,0.23875432525951557,0.704225352112676,0.25666666666666665,0.04050333333333345
spa,mean_7_multilingual,25,0.5666666666666667,0.30583476517754876,0.7724137931034482,0.21666666666666667,0.04050333333333345
spa,mean_11_english,25,0.43999999999999995,0.16438356164383564,0.6982552271088678,0.28,0.04050333333333345
vie,mean_18_full,25,0.5866666666666666,0.2978628079005567,0.8257839721254355,0.20666666666666667,0.026855000000000073
vie,mean_7_multilingual,25,0.7466666666666665,0.5859649122807016,0.8680555555555557,0.12666666666666668,0.026855000000000073
vie,mean_11_english,25,0.4999999999999999,0.1846370398948676,0.7857266009852214,0.25,0.026855000000000073
