model_id,eng_mean,multi_mean,is_cluster_member,n_languages_affected,delta
BOOM-4B,0.5489718181818182,0.711528443662166,False,0,-0.16255662548034788
BidirLM-1B,0.48971909090909094,0.6703101102900633,False,0,-0.18059101938097233
BidirLM-2.5B,0.5481564772727272,0.6912834361839975,False,0,-0.14312695891127025
F2LLM-v2-14B,0.6105981818181818,0.7307211513321134,False,0,-0.12012296951393153
F2LLM-v2-4B,0.5865713636363636,0.7213481026258022,False,0,-0.13477673898943854
F2LLM-v2-8B,0.6003943181818182,0.732888973785056,False,0,-0.1324946556032378
GritLM-7B,0.5457559090909091,0.6196082808009222,False,0,-0.07385237171001313
KaLM-Gemma3-12B,0.7329327272727273,0.7665835491879122,False,0,-0.03365082191518487
Qwen3-0.6B,0.6322579545454545,0.6524641784008437,False,0,-0.02020622385538917
Qwen3-4B,0.6611984090909091,0.731245925522438,False,0,-0.07004751643152884
Qwen3-8B,0.6677963636363636,0.75362255390226,False,0,-0.08582619026589633
Seed1.6-embed,0.6241875,0.6986944023151308,True,6,-0.0745069023151308
bge-m3,0.48804988636363633,0.6302985399565094,False,0,-0.1422486535928731
embeddinggemma-300m,0.5647745454545454,0.6974940615544597,False,0,-0.13271951609991428
granite-311m,0.6320402272727272,0.6579780372176732,True,16,-0.02593780994494599
granite-97m-r2,0.5977096590909091,0.5913151191639271,True,0,0.0063945399269820236
harrier-0.6b,0.710802159090909,0.6844375365551489,True,10,0.026364622535760107
inf-retriever-v1,0.6208306818181818,0.7170657252014282,True,4,-0.0962350433832464
jina-v5-nano,0.5880926136363637,0.6905517514379105,False,0,-0.1024591378015468
jina-v5-small,0.5994742045454545,0.7061836077037197,False,0,-0.10670940315826516
ml-e5-small,0.45254659090909094,0.5949546615439488,False,0,-0.1424080706348579
nemotron-8b,0.6347334090909091,0.7492350774653833,False,0,-0.11450166837447417
pplx-embed-0.6b,0.6193547727272727,0.6929784777490023,False,0,-0.07362370502172966
pplx-embed-4b,0.6602930681818182,0.7315577361696958,False,0,-0.07126466798787756
voyage-3.5,0.583702840909091,0.7088001519842992,False,0,-0.12509731107520827
zembed-1,0.572125,0.7058763817682595,False,0,-0.13375138176825951
