language_iso,n_tasks,top1_regret,top3_regret,top5_regret,leaderboard_pick,oracle_pick
jpn,2,0.0548550000000001,0.0321516666666668,0.017708999999999975,KaLM-Gemma3-12B,nemotron-8b
kor,2,0.052709999999999924,0.04215666666666662,0.022589999999999888,KaLM-Gemma3-12B,nemotron-8b
rus,2,0.04410000000000003,0.029404999999999903,0.015171999999999852,KaLM-Gemma3-12B,Qwen3-8B
fra,2,0.04110999999999998,0.017109999999999848,0.010752999999999902,KaLM-Gemma3-12B,Qwen3-8B
spa,3,0.04050333333333345,0.026707777777777886,0.013905333333333436,KaLM-Gemma3-12B,Qwen3-8B
ara,3,0.03924000000000005,0.06955333333333336,0.05619000000000007,KaLM-Gemma3-12B,Qwen3-8B
ind,2,0.03742500000000004,0.022571666666666546,0.011611000000000038,KaLM-Gemma3-12B,Qwen3-8B
tha,2,0.03553499999999998,0.032453333333333445,0.023067999999999977,KaLM-Gemma3-12B,Qwen3-8B
zho,3,0.033916666666666706,0.02623333333333333,0.014195333333333338,KaLM-Gemma3-12B,Qwen3-8B
tel,2,0.03212000000000004,0.03402833333333333,0.03092000000000006,KaLM-Gemma3-12B,Qwen3-8B
deu,4,0.030252500000000015,0.030099166666666677,0.014414499999999997,KaLM-Gemma3-12B,Qwen3-8B
vie,2,0.026855000000000073,0.034250000000000114,0.01989200000000002,KaLM-Gemma3-12B,Qwen3-8B
ben,3,0.026450000000000085,0.07053555555555546,0.05439066666666681,KaLM-Gemma3-12B,Qwen3-8B
hin,4,0.024124999999999952,0.0535591666666666,0.032438999999999885,KaLM-Gemma3-12B,Qwen3-8B
fas,3,0.02354333333333336,0.03293777777777773,0.019762666666666706,KaLM-Gemma3-12B,nemotron-8b
ita,2,0.012584999999999957,0.023235000000000117,0.01497599999999999,KaLM-Gemma3-12B,Qwen3-8B
swa,2,0.0012200000000001099,0.061846666666666716,0.05636300000000016,KaLM-Gemma3-12B,nemotron-8b
