aggregator,language_iso,n_models,kendall_tau,tau_ci_lo,tau_ci_hi,inversion_rate,top1_regret
lang_macro_18lang,ita,24,0.4492753623188406,0.1110899873257288,0.741444866920152,0.2753623188405797,0.0
inv_nt_weighted,ita,24,0.31884057971014496,-0.0412062751748993,0.6592872117400416,0.34057971014492755,0.012584999999999957
lang_macro_multilingual,ita,24,0.42028985507246375,0.0727969348659004,0.7207809618385583,0.2898550724637681,0.0
lang_macro_18lang_loo,ita,24,0.4420289855072464,0.10235031941761998,0.7384615384615385,0.27898550724637683,0.0
lang_macro_multilingual_loo,ita,24,0.40579710144927533,0.06012809802283489,0.7099236641221373,0.2971014492753623,0.0
lang_macro_18lang,jpn,25,0.7733333333333332,0.5902777777777779,0.9081272084805653,0.11333333333333333,0.003650000000000153
inv_nt_weighted,jpn,25,0.2799999999999999,-0.031584526687744086,0.5655252178181369,0.36,0.0548550000000001
lang_macro_multilingual,jpn,25,0.7999999999999998,0.6363480162449234,0.9172413793103447,0.1,0.003650000000000153
lang_macro_18lang_loo,jpn,25,0.7666666666666665,0.5807476029125515,0.9024474932249321,0.11666666666666667,0.003650000000000153
lang_macro_multilingual_loo,jpn,25,0.7999999999999998,0.6363480162449234,0.9172413793103447,0.1,0.003650000000000153
lang_macro_18lang,hin,24,0.7536231884057971,0.5361081442873213,0.9083969465648853,0.12318840579710146,0.0
inv_nt_weighted,hin,24,0.391304347826087,0.07169811320754717,0.6769230769230771,0.30434782608695654,0.024124999999999952
lang_macro_multilingual,hin,24,0.7246376811594203,0.47924528301886793,0.8996138996138996,0.13768115942028986,0.0
lang_macro_18lang_loo,hin,24,0.717391304347826,0.46360153256704995,0.8955223880597014,0.14130434782608695,0.0
lang_macro_multilingual_loo,hin,24,0.7101449275362319,0.4490566037735849,0.8935361216730037,0.14492753623188406,0.0
lang_macro_18lang,fra,25,0.6399999999999998,0.43060498220640564,0.8082191780821919,0.18,0.0
inv_nt_weighted,fra,25,0.19999999999999996,-0.11034482758620688,0.4634146341463415,0.4,0.04110999999999998
lang_macro_multilingual,fra,25,0.6666666666666665,0.4657415334855404,0.8269896193771626,0.16666666666666666,0.0
lang_macro_18lang_loo,fra,25,0.6266666666666666,0.406341273567422,0.8007281967532781,0.18666666666666668,0.0
lang_macro_multilingual_loo,fra,25,0.6599999999999998,0.46391752577319595,0.8194444444444446,0.17,0.0
lang_macro_18lang,ind,25,0.6466666666666666,0.3971463232549459,0.8368794326241136,0.17666666666666667,0.0
inv_nt_weighted,ind,25,0.20666666666666664,-0.14697372796807448,0.5211267605633803,0.39666666666666667,0.03742500000000004
lang_macro_multilingual,ind,25,0.6733333333333332,0.4487632508833922,0.8482758620689654,0.16333333333333333,0.0
lang_macro_18lang_loo,ind,25,0.6333333333333332,0.37543859649122796,0.831000741289844,0.18333333333333332,0.0
lang_macro_multilingual_loo,ind,25,0.6733333333333332,0.4487632508833922,0.8482758620689654,0.16333333333333333,0.0
lang_macro_18lang,tel,25,0.7133333333333332,0.5501730103806228,0.8596491228070173,0.14333333333333334,0.0
inv_nt_weighted,tel,25,0.1933333333333333,-0.12329735224357424,0.4755244755244755,0.4033333333333333,0.03212000000000004
lang_macro_multilingual,tel,25,0.7399999999999999,0.5945017182130585,0.867595818815331,0.13,0.0
lang_macro_18lang_loo,tel,25,0.6533333333333332,0.4385964912280701,0.8264039071510957,0.17333333333333334,0.0
lang_macro_multilingual_loo,tel,25,0.6866666666666665,0.4965034965034965,0.8461538461538461,0.15666666666666668,0.0
lang_macro_18lang,kor,25,0.7466666666666665,0.5422535211267605,0.9007179911284865,0.12666666666666668,0.006014999999999993
inv_nt_weighted,kor,25,0.22666666666666663,-0.0827729885057471,0.5157894736842104,0.38666666666666666,0.052709999999999924
lang_macro_multilingual,kor,25,0.7733333333333332,0.5759559998063798,0.9236177191464822,0.11333333333333333,0.006014999999999993
lang_macro_18lang_loo,kor,25,0.7399999999999999,0.5314685314685315,0.895114032309154,0.13,0.006014999999999993
lang_macro_multilingual_loo,kor,25,0.7599999999999999,0.5524294670846396,0.9228070175438595,0.12,0.006014999999999993
lang_macro_18lang,swa,25,0.4866666666666665,0.2689618094178717,0.6912280701754385,0.25666666666666665,0.06201000000000001
inv_nt_weighted,swa,25,0.24666666666666665,-0.03496503496503496,0.505226480836237,0.37666666666666665,0.0012200000000001099
lang_macro_multilingual,swa,25,0.5133333333333333,0.31250000000000006,0.7034482758620688,0.24333333333333335,0.06201000000000001
lang_macro_18lang_loo,swa,25,0.43999999999999995,0.20577361292469978,0.6597222222222223,0.28,0.06201000000000001
lang_macro_multilingual_loo,swa,25,0.45333333333333325,0.23610119047619052,0.6643356643356644,0.2733333333333333,0.06201000000000001
lang_macro_18lang,fas,24,0.782608695652174,0.5924528301886792,0.9310344827586209,0.10869565217391304,0.0007366666666666077
inv_nt_weighted,fas,24,0.24637681159420288,-0.10687022900763357,0.5741565461665056,0.37681159420289856,0.02354333333333336
lang_macro_multilingual,fas,24,0.7971014492753623,0.6349809885931558,0.9253731343283581,0.10144927536231885,0.0007366666666666077
lang_macro_18lang_loo,fas,24,0.7681159420289855,0.5572519083969465,0.9305019305019305,0.11594202898550725,0.0007366666666666077
lang_macro_multilingual_loo,fas,24,0.782608695652174,0.6091954022988507,0.9242424242424242,0.10869565217391304,0.0007366666666666077
lang_macro_18lang,tha,25,0.7599999999999999,0.5719298245614034,0.8972602739726029,0.12,0.0
inv_nt_weighted,tha,25,0.25333333333333324,-0.08275862068965516,0.5477031802120141,0.37333333333333335,0.03553499999999998
lang_macro_multilingual,tha,25,0.7866666666666665,0.6293706293706294,0.9100346020761245,0.10666666666666667,0.0
lang_macro_18lang_loo,tha,25,0.7466666666666665,0.5400696864111498,0.8961937716262975,0.12666666666666668,0.0
lang_macro_multilingual_loo,tha,25,0.7733333333333332,0.6097560975609756,0.9027777777777779,0.11333333333333333,0.0
lang_macro_18lang,rus,25,0.7666666666666665,0.5902777777777779,0.8972602739726029,0.11666666666666667,0.0
inv_nt_weighted,rus,25,0.2866666666666666,-0.03893200926038742,0.5729537366548042,0.3566666666666667,0.04410000000000003
lang_macro_multilingual,rus,25,0.7799999999999999,0.6267489887421414,0.8962027204390882,0.11,0.0
lang_macro_18lang_loo,rus,25,0.7533333333333332,0.5609372334982092,0.895104895104895,0.12333333333333334,0.0
lang_macro_multilingual_loo,rus,25,0.7799999999999999,0.6267489887421414,0.8962027204390882,0.11,0.0
lang_macro_18lang,zho,25,0.7266666666666666,0.5000000000000001,0.8989440433212992,0.13666666666666666,0.0
inv_nt_weighted,zho,25,0.3533333333333333,0.05511819178749852,0.6183745583038869,0.3233333333333333,0.033916666666666706
lang_macro_multilingual,zho,25,0.6999999999999998,0.4596491228070175,0.8811188811188811,0.15,0.0
lang_macro_18lang_loo,zho,25,0.7133333333333332,0.47585362912949114,0.889655172413793,0.14333333333333334,0.0
lang_macro_multilingual_loo,zho,25,0.6999999999999998,0.4596491228070175,0.8811188811188811,0.15,0.0
lang_macro_18lang,deu,24,0.7028985507246377,0.5075757575757576,0.8555133079847907,0.14855072463768115,0.0
inv_nt_weighted,deu,24,0.35507246376811596,0.030534351145038163,0.6515151515151515,0.322463768115942,0.030252500000000015
lang_macro_multilingual,deu,24,0.6739130434782609,0.4615234375,0.8390804597701151,0.16304347826086957,0.0
lang_macro_18lang_loo,deu,24,0.6884057971014493,0.48461538461538467,0.847328244274809,0.15579710144927536,0.0
lang_macro_multilingual_loo,deu,24,0.6666666666666667,0.453183520599251,0.8326996197718631,0.16666666666666666,0.0
lang_macro_18lang,ben,24,0.7391304347826086,0.5714285714285715,0.8721804511278196,0.13043478260869565,0.0
inv_nt_weighted,ben,24,0.34782608695652173,-0.007575757575757575,0.6528480166394294,0.32608695652173914,0.026450000000000085
lang_macro_multilingual,ben,24,0.7101449275362319,0.5156189903846153,0.861003861003861,0.14492753623188406,0.0
lang_macro_18lang_loo,ben,24,0.7101449275362319,0.5169811320754718,0.8620689655172415,0.14492753623188406,0.0
lang_macro_multilingual_loo,ben,24,0.7028985507246377,0.5037593984962406,0.8566037735849057,0.14855072463768115,0.0
lang_macro_18lang,ara,25,0.7199999999999999,0.5034071953193078,0.8741258741258741,0.14,0.0
inv_nt_weighted,ara,25,0.3866666666666666,0.07368421052631577,0.6607773851590106,0.30666666666666664,0.03924000000000005
lang_macro_multilingual,ara,25,0.6933333333333331,0.4532871972318339,0.8611111111111113,0.15333333333333332,0.0
lang_macro_18lang_loo,ara,25,0.6733333333333332,0.4265492293173954,0.8482758620689654,0.16333333333333333,0.0
lang_macro_multilingual_loo,ara,25,0.6933333333333331,0.4532871972318339,0.8611111111111113,0.15333333333333332,0.0
lang_macro_18lang,spa,25,0.7399999999999999,0.5410958904109591,0.8798692330662418,0.13,0.0
inv_nt_weighted,spa,25,0.4466666666666666,0.16901408450704222,0.6982719911667274,0.27666666666666667,0.04050333333333345
lang_macro_multilingual,spa,25,0.7133333333333332,0.49466192170818496,0.867595818815331,0.14333333333333334,0.0
lang_macro_18lang_loo,spa,25,0.7266666666666666,0.5177242969796161,0.8736952521163044,0.13666666666666666,0.0
lang_macro_multilingual_loo,spa,25,0.7066666666666666,0.48453608247422686,0.8647806718659294,0.14666666666666667,0.0
lang_macro_18lang,vie,25,0.7199999999999999,0.5140845070422535,0.867595818815331,0.14,0.0
inv_nt_weighted,vie,25,0.5199999999999999,0.20557491289198607,0.7906218946150265,0.24,0.026855000000000073
lang_macro_multilingual,vie,25,0.6933333333333331,0.4583186619718311,0.8561760445819218,0.15333333333333332,0.0
lang_macro_18lang_loo,vie,25,0.6999999999999998,0.47038327526132406,0.8596491228070173,0.15,0.0
lang_macro_multilingual_loo,vie,25,0.6866666666666665,0.4467974674225135,0.8546712802768166,0.15666666666666668,0.0
