roster_variant,language_iso,n_models,kendall_tau,inversion_rate
headline_curated,ita,24,0.36231884057971014,0.3188405797101449
headline_curated,jpn,25,0.33333333333333326,0.3333333333333333
headline_curated,hin,24,0.463768115942029,0.26811594202898553
headline_curated,fra,25,0.25333333333333324,0.37333333333333335
headline_curated,ind,25,0.25999999999999995,0.37
headline_curated,tel,25,0.25999999999999995,0.37
headline_curated,kor,25,0.2799999999999999,0.36
headline_curated,swa,25,0.29999999999999993,0.35
headline_curated,fas,24,0.3043478260869565,0.34782608695652173
headline_curated,tha,25,0.3199999999999999,0.34
headline_curated,rus,25,0.3399999999999999,0.33
headline_curated,zho,25,0.39333333333333326,0.30333333333333334
headline_curated,deu,24,0.41304347826086957,0.29347826086956524
headline_curated,ben,24,0.42028985507246375,0.2898550724637681
headline_curated,ara,25,0.45333333333333325,0.2733333333333333
headline_curated,spa,25,0.4866666666666665,0.25666666666666665
headline_curated,vie,25,0.5866666666666666,0.20666666666666667
no_instruction_tuned,ita,19,0.4269005847953216,0.28654970760233917
no_instruction_tuned,jpn,20,0.3368421052631579,0.33157894736842103
no_instruction_tuned,hin,19,0.40350877192982454,0.2982456140350877
no_instruction_tuned,fra,20,0.22105263157894736,0.3894736842105263
no_instruction_tuned,ind,20,0.17894736842105263,0.4105263157894737
no_instruction_tuned,tel,20,0.2105263157894737,0.39473684210526316
no_instruction_tuned,kor,20,0.25263157894736843,0.3736842105263158
no_instruction_tuned,swa,20,0.24210526315789474,0.37894736842105264
no_instruction_tuned,fas,19,0.1695906432748538,0.4152046783625731
no_instruction_tuned,tha,20,0.23157894736842105,0.38421052631578945
no_instruction_tuned,rus,20,0.28421052631578947,0.35789473684210527
no_instruction_tuned,zho,20,0.3684210526315789,0.3157894736842105
no_instruction_tuned,deu,19,0.3333333333333333,0.3333333333333333
no_instruction_tuned,ben,19,0.3684210526315789,0.3157894736842105
no_instruction_tuned,ara,20,0.37894736842105264,0.3105263157894737
no_instruction_tuned,spa,20,0.4421052631578947,0.2789473684210526
no_instruction_tuned,vie,20,0.5368421052631579,0.23157894736842105
ge10_lang_coverage,ita,24,0.36231884057971014,0.3188405797101449
ge10_lang_coverage,jpn,25,0.33333333333333326,0.3333333333333333
ge10_lang_coverage,hin,24,0.463768115942029,0.26811594202898553
ge10_lang_coverage,fra,25,0.25333333333333324,0.37333333333333335
ge10_lang_coverage,ind,25,0.25999999999999995,0.37
ge10_lang_coverage,tel,25,0.25999999999999995,0.37
ge10_lang_coverage,kor,25,0.2799999999999999,0.36
ge10_lang_coverage,swa,25,0.29999999999999993,0.35
ge10_lang_coverage,fas,24,0.3043478260869565,0.34782608695652173
ge10_lang_coverage,tha,25,0.3199999999999999,0.34
ge10_lang_coverage,rus,25,0.3399999999999999,0.33
ge10_lang_coverage,zho,25,0.39333333333333326,0.30333333333333334
ge10_lang_coverage,deu,24,0.41304347826086957,0.29347826086956524
ge10_lang_coverage,ben,24,0.42028985507246375,0.2898550724637681
ge10_lang_coverage,ara,25,0.45333333333333325,0.2733333333333333
ge10_lang_coverage,spa,25,0.4866666666666665,0.25666666666666665
ge10_lang_coverage,vie,25,0.5866666666666666,0.20666666666666667
family_balanced,ita,17,0.338235294117647,0.33088235294117646
family_balanced,jpn,18,0.32026143790849676,0.33986928104575165
family_balanced,hin,17,0.4705882352941176,0.2647058823529412
family_balanced,fra,18,0.32026143790849676,0.33986928104575165
family_balanced,ind,18,0.281045751633987,0.35947712418300654
family_balanced,tel,18,0.2679738562091504,0.3660130718954248
family_balanced,kor,18,0.2941176470588236,0.35294117647058826
family_balanced,swa,18,0.3856209150326798,0.30718954248366015
family_balanced,fas,17,0.2941176470588235,0.35294117647058826
family_balanced,tha,18,0.34640522875817,0.32679738562091504
family_balanced,rus,18,0.33333333333333337,0.3333333333333333
family_balanced,zho,18,0.411764705882353,0.29411764705882354
family_balanced,deu,17,0.41176470588235287,0.29411764705882354
family_balanced,ben,17,0.4411764705882352,0.27941176470588236
family_balanced,ara,18,0.5032679738562092,0.24836601307189543
family_balanced,spa,18,0.47712418300653603,0.26143790849673204
family_balanced,vie,18,0.5686274509803922,0.21568627450980393
