iso3,lang_name,n_local,above_diagonal,below_diagonal,on_diagonal,kendall_tau,kendall_tau_summary_curated
ara,Arabic,25,10,13,2,0.45333333333333325,0.4533333333333332
ben,Bengali,24,9,14,1,0.42028985507246375,0.4202898550724637
deu,German,24,9,13,2,0.41304347826086957,0.4130434782608695
fas,Persian,24,10,11,3,0.3043478260869565,0.3043478260869565
fra,French,25,12,13,0,0.25333333333333324,0.2533333333333332
hin,Hindi,24,9,12,3,0.463768115942029,0.463768115942029
ind,Indonesian,25,13,12,0,0.25999999999999995,0.2599999999999999
ita,Italian,24,9,14,1,0.36231884057971014,0.3623188405797101
jpn,Japanese,25,9,12,4,0.33333333333333326,0.3333333333333332
kor,Korean,25,10,11,4,0.2799999999999999,0.2799999999999999
rus,Russian,25,12,13,0,0.3399999999999999,0.3399999999999999
spa,Spanish,25,9,13,3,0.4866666666666665,0.4866666666666665
swa,Swahili,25,14,10,1,0.29999999999999993,0.2999999999999999
tel,Telugu,25,12,13,0,0.25999999999999995,0.2599999999999999
tha,Thai,25,9,14,2,0.3199999999999999,0.3199999999999999
vie,Vietnamese,25,9,15,1,0.5866666666666666,0.5866666666666666
zho,Chinese,25,10,14,1,0.39333333333333326,0.3933333333333332
