model_id,mteb_agg,source
intfloat/multilingual-e5-small,77.0,paper_table3
intfloat/e5-small-v2,41.6,paper_table3
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64.7,hf_leaderboard
intfloat/multilingual-e5-base,79.7,paper_table3
intfloat/multilingual-e5-large,84.2,paper_table3
intfloat/multilingual-e5-large-instruct,83.8,hf_leaderboard
BAAI/bge-m3,84.0,paper_table3
jinaai/jina-embeddings-v3,81.3,paper_table3
Snowflake/snowflake-arctic-embed-l-v2.0,82.3,paper_table3
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,68.2,hf_leaderboard
Qwen/Qwen3-Embedding-0.6B,77.9,paper_table3
intfloat/e5-large-v2,56.4,hf_leaderboard
google/gemma-embedding-300M-v1,72.1,hf_leaderboard
Qwen/Qwen3-Embedding-4B,86.2,paper_table3
Qwen/Qwen3-Embedding-8B,90.4,paper_table3
Salesforce/SFR-Embedding-Mistral,80.3,paper_table3
intfloat/e5-mistral-7b-instruct,79.6,paper_table3
Salesforce/SFR-Embedding-2_R,77.9,paper_table3
Alibaba-NLP/gte-Qwen2-7B-instruct,83.1,hf_leaderboard
BAAI/bge-multilingual-gemma2,84.6,hf_leaderboard
