model_id,display_name,language_iso,lang_name,local_rank,local_ndcg
BAAI/bge-m3,bge-m3,ita,Italian,19,0.914135
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,ita,Italian,21,0.904775
Qwen/Qwen3-Embedding-4B,Qwen3-4B,ita,Italian,8,0.938345
Qwen/Qwen3-Embedding-8B,Qwen3-8B,ita,Italian,1,0.95882
nvidia/llama-embed-nemotron-8b,nemotron-8b,ita,Italian,3,0.952585
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,ita,Italian,23,0.89164
voyageai/voyage-3.5,voyage-3.5,ita,Italian,11,0.9368
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,ita,Italian,7,0.946235
google/embeddinggemma-300m,embeddinggemma-300m,ita,Italian,16,0.9295
infly/inf-retriever-v1,inf-retriever-v1,ita,Italian,5,0.948505
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,ita,Italian,17,0.926625
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,ita,Italian,14,0.93121
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,ita,Italian,12,0.932265
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,ita,Italian,9,0.937265
jinaai/jina-embeddings-v5-text-small,jina-v5-small,ita,Italian,13,0.93222
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,ita,Italian,10,0.936845
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,ita,Italian,2,0.954995
zeroentropy/zembed-1,zembed-1,ita,Italian,15,0.93107
GritLM/GritLM-7B,GritLM-7B,ita,Italian,4,0.95001
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,ita,Italian,6,0.94836
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,ita,Italian,22,0.8982049999999999
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,ita,Italian,20,0.90541
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,ita,Italian,24,0.888015
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,ita,Italian,18,0.9251
intfloat/multilingual-e5-small,ml-e5-small,jpn,Japanese,25,0.716655
BAAI/bge-m3,bge-m3,jpn,Japanese,7,0.816615
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,jpn,Japanese,21,0.765205
Qwen/Qwen3-Embedding-4B,Qwen3-4B,jpn,Japanese,3,0.8343050000000001
Qwen/Qwen3-Embedding-8B,Qwen3-8B,jpn,Japanese,2,0.8622449999999999
nvidia/llama-embed-nemotron-8b,nemotron-8b,jpn,Japanese,1,0.8658950000000001
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,jpn,Japanese,18,0.792705
voyageai/voyage-3.5,voyage-3.5,jpn,Japanese,22,0.76285
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,jpn,Japanese,11,0.81104
google/embeddinggemma-300m,embeddinggemma-300m,jpn,Japanese,9,0.81429
infly/inf-retriever-v1,inf-retriever-v1,jpn,Japanese,17,0.795255
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,jpn,Japanese,15,0.798495
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,jpn,Japanese,8,0.81516
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,jpn,Japanese,4,0.826395
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,jpn,Japanese,14,0.801615
jinaai/jina-embeddings-v5-text-small,jina-v5-small,jpn,Japanese,10,0.81256
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,jpn,Japanese,6,0.822765
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,jpn,Japanese,5,0.824655
zeroentropy/zembed-1,zembed-1,jpn,Japanese,20,0.78352
GritLM/GritLM-7B,GritLM-7B,jpn,Japanese,24,0.71794
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,jpn,Japanese,19,0.787345
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,jpn,Japanese,13,0.80928
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,jpn,Japanese,16,0.795415
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,jpn,Japanese,23,0.7413350000000001
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,jpn,Japanese,12,0.809625
BAAI/bge-m3,bge-m3,hin,Hindi,20,0.66353
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,hin,Hindi,22,0.6488975
Qwen/Qwen3-Embedding-4B,Qwen3-4B,hin,Hindi,4,0.7905949999999999
Qwen/Qwen3-Embedding-8B,Qwen3-8B,hin,Hindi,1,0.819995
nvidia/llama-embed-nemotron-8b,nemotron-8b,hin,Hindi,2,0.8145775000000001
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,hin,Hindi,21,0.6539
voyageai/voyage-3.5,voyage-3.5,hin,Hindi,19,0.6755599999999999
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,hin,Hindi,3,0.7958700000000001
google/embeddinggemma-300m,embeddinggemma-300m,hin,Hindi,14,0.7317275
infly/inf-retriever-v1,inf-retriever-v1,hin,Hindi,12,0.7492375
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,hin,Hindi,8,0.76436
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,hin,Hindi,6,0.7750775000000001
