display_name,is_cluster,mean_eng,mean_multi,delta,n_eng_tasks,n_multi_tasks
Qwen3-0.6B,False,0.6322579545454545,0.6524641784008436,-0.02020622385538906,11,7
Qwen3-4B,False,0.6611984090909091,0.7312459255224381,-0.07004751643152896,11,7
Qwen3-8B,False,0.6677963636363636,0.75362255390226,-0.08582619026589633,11,7
nemotron-8b,False,0.6347334090909091,0.7492350774653833,-0.11450166837447417,11,7
harrier-0.6b,True,0.710802159090909,0.6844375365551489,0.026364622535760107,11,7
bge-m3,False,0.4880498863636364,0.6302985399565094,-0.14224865359287303,11,7
ml-e5-small,False,0.452546590909091,0.5949546615439489,-0.14240807063485794,11,7
KaLM-Gemma3-12B,False,0.7329327272727273,0.7665835491879124,-0.03365082191518509,11,7
pplx-embed-4b,False,0.6602930681818182,0.7315577361696958,-0.07126466798787756,11,7
inf-retriever-v1,True,0.6208306818181818,0.717065725201428,-0.09623504338324618,11,7
F2LLM-v2-14B,False,0.6105981818181818,0.7307211513321134,-0.12012296951393153,11,7
Seed1.6-embed,True,0.6241875,0.6986944023151308,-0.0745069023151308,11,7
F2LLM-v2-8B,False,0.6003943181818182,0.732888973785056,-0.1324946556032378,11,7
pplx-embed-0.6b,False,0.6193547727272727,0.6929784777490022,-0.07362370502172955,11,7
granite-311m,True,0.6320402272727272,0.6579780372176732,-0.02593780994494599,11,7
jina-v5-small,False,0.5994742045454546,0.7061836077037196,-0.10670940315826494,11,7
F2LLM-v2-4B,False,0.5865713636363635,0.7213481026258022,-0.13477673898943865,11,7
voyage-3.5,False,0.583702840909091,0.7088001519842992,-0.12509731107520827,11,7
jina-v5-nano,False,0.5880926136363637,0.6905517514379105,-0.1024591378015468,11,7
zembed-1,False,0.5721250000000001,0.7058763817682594,-0.1337513817682593,11,7
embeddinggemma-300m,False,0.5647745454545454,0.6974940615544597,-0.13271951609991428,11,7
BOOM-4B,False,0.5489718181818182,0.711528443662166,-0.16255662548034788,11,7
BidirLM-2.5B,False,0.5481564772727272,0.6912834361839975,-0.14312695891127025,11,7
GritLM-7B,False,0.5457559090909091,0.6196082808009222,-0.07385237171001313,11,7
BidirLM-1B,False,0.4897190909090909,0.6703101102900633,-0.18059101938097238,11,7
granite-97m-r2,True,0.5977096590909091,0.5913151191639271,0.0063945399269820236,11,7
