language_iso,n_extended,status,tau_median,tau_iqr_lo,tau_iqr_hi,tau_p025,tau_p975,inv_median,n_subsets_ok
ita,53,ok,0.7266666666666666,0.6716666666666665,0.7683333333333332,0.5561666666666666,0.8368333333333331,0.13666666666666666,100
jpn,54,ok,0.6933333333333331,0.6466666666666666,0.7483333333333332,0.5529999999999998,0.8171666666666664,0.15333333333333332,100
hin,53,ok,0.7499999999999998,0.7066666666666666,0.7933333333333331,0.6298333333333332,0.8634999999999998,0.125,100
ara,54,ok,0.7366666666666666,0.6933333333333331,0.7799999999999999,0.5793333333333333,0.8634999999999998,0.13166666666666665,100
zho,54,ok,0.6866666666666665,0.6383333333333332,0.7266666666666666,0.5031666666666665,0.803833333333333,0.15666666666666668,100
deu,53,ok,0.7266666666666666,0.6516666666666666,0.7733333333333332,0.5758333333333332,0.8669999999999998,0.13666666666666666,100
spa,28,ok,0.9199999999999998,0.9133333333333332,0.9266666666666664,0.9031666666666665,0.9368333333333332,0.04,100
rus,57,ok,0.6866666666666665,0.6449999999999999,0.7266666666666666,0.5123333333333333,0.7866666666666665,0.15666666666666668,100
fra,54,ok,0.6333333333333332,0.5733333333333333,0.6749999999999998,0.4831666666666666,0.7466666666666665,0.18333333333333332,100
kor,54,ok,0.6999999999999998,0.6399999999999998,0.7466666666666665,0.4799999999999999,0.8301666666666665,0.15,100
ben,53,ok,0.7333333333333332,0.6733333333333332,0.7733333333333332,0.5659999999999998,0.8339999999999996,0.13333333333333333,100
vie,54,ok,0.7533333333333332,0.7133333333333332,0.7866666666666665,0.6396666666666666,0.8634999999999998,0.12333333333333334,100
ind,54,ok,0.6999999999999998,0.6516666666666666,0.7549999999999999,0.49933333333333324,0.8336666666666664,0.15,100
fas,53,ok,0.6866666666666665,0.6383333333333332,0.7283333333333333,0.4999999999999999,0.820333333333333,0.15666666666666668,100
swa,54,ok,0.6799999999999998,0.6383333333333332,0.7216666666666666,0.4764999999999999,0.8269999999999997,0.16,100
tha,54,ok,0.6999999999999998,0.6466666666666666,0.7333333333333332,0.5129999999999999,0.7968333333333331,0.15,100
tel,54,ok,0.6866666666666665,0.6183333333333332,0.7333333333333332,0.4831666666666666,0.7901666666666665,0.15666666666666668,100
