model_id,display_name,tier,global_rank_curated,global_rank_restricted,params,family
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,restricted,14,5.0,0.6B,Qwen3
Qwen/Qwen3-Embedding-4B,Qwen3-4B,restricted,4,3.0,4B,Qwen3
Qwen/Qwen3-Embedding-8B,Qwen3-8B,restricted,2,1.0,8B,Qwen3
nvidia/llama-embed-nemotron-8b,nemotron-8b,restricted,6,4.0,8B,Nemotron
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,restricted,3,2.0,0.6B,Harrier
BAAI/bge-m3,bge-m3,restricted,24,6.0,568M,BGE
intfloat/multilingual-e5-small,ml-e5-small,restricted,25,7.0,117M,E5
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,curated_only,1,,12B,KaLM-Gemma
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,curated_only,5,,4B,pplx-embed
infly/inf-retriever-v1,inf-retriever-v1,curated_only,7,,7B,Inf-Retriever
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,curated_only,8,,14B,F2LLM
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,curated_only,9,,7B,Seed
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,curated_only,10,,8B,F2LLM
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,curated_only,11,,0.6B,pplx-embed
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,curated_only,12,,311M,Granite
jinaai/jina-embeddings-v5-text-small,jina-v5-small,curated_only,13,,570M,Jina-v5
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,curated_only,15,,4B,F2LLM
voyageai/voyage-3.5,voyage-3.5,curated_only,16,,unk,Voyage
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,curated_only,17,,228M,Jina-v5
zeroentropy/zembed-1,zembed-1,curated_only,18,,unk,ZEmbed
google/embeddinggemma-300m,embeddinggemma-300m,curated_only,19,,300M,EmbeddingGemma
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,curated_only,20,,4B,BOOM
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,curated_only,21,,2.5B,BidirLM
GritLM/GritLM-7B,GritLM-7B,curated_only,22,,7B,GritLM
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,curated_only,23,,1B,BidirLM
