model,mteb_agg,n_tasks_in_agg
KaLM-Gemma3-12B,0.7460191580175214,18
Qwen3-8B,0.7011732154064344,18
harrier-0.6b,0.7005492503270024,18
Qwen3-4B,0.6884391099253925,18
pplx-embed-4b,0.6880071057326594,18
nemotron-8b,0.6792618356809824,18
inf-retriever-v1,0.6582554209116666,18
F2LLM-v2-14B,0.6573126699624887,18
Seed1.6-embed,0.6531624064558841,18
F2LLM-v2-8B,0.6519200175830773,18
pplx-embed-0.6b,0.6479862135690565,18
granite-311m,0.6421271533624284,18
jina-v5-small,0.6409723057736687,18
Qwen3-0.6B,0.6401159304892171,18
F2LLM-v2-4B,0.6389845399100341,18
voyage-3.5,0.6323517952161164,18
jina-v5-nano,0.6279378338925208,18
zembed-1,0.6241394262432121,18
embeddinggemma-300m,0.6163876906045122,18
BOOM-4B,0.612188283646398,18
BidirLM-2.5B,0.6038169612937767,18
GritLM-7B,0.5744762758670253,18
BidirLM-1B,0.559948931779469,18
bge-m3,0.5433688072053093,18
ml-e5-small,0.5079275072670913,18
