model,mteb_agg,n_tasks_in_agg
microsoft__harrier-oss-v1-27b,0.7722832219498319,18
tencent__KaLM-Embedding-Gemma3-12B-2511,0.7460191580175214,18
Qwen__Qwen3-Embedding-8B,0.7011732154064344,18
microsoft__harrier-oss-v1-0.6b,0.7005492503270024,18
Qwen__Qwen3-Embedding-4B,0.6884391099253925,18
perplexity-ai__pplx-embed-v1-4b,0.6880071057326594,18
nvidia__llama-embed-nemotron-8b,0.6792618356809824,18
google__gemini-embedding-001,0.6672537764131461,18
infly__inf-retriever-v1,0.6582554209116666,18
codefuse-ai__F2LLM-v2-14B,0.6573126699624887,18
microsoft__harrier-oss-v1-270m,0.6558932487817821,18
Bytedance__Seed1.6-embedding-1215,0.6531624064558841,18
codefuse-ai__F2LLM-v2-8B,0.6519200175830773,18
perplexity-ai__pplx-embed-v1-0.6b,0.6479862135690565,18
ibm-granite__granite-embedding-311m-multilingual-r2,0.6421271533624284,18
jinaai__jina-embeddings-v5-text-small,0.6409723057736687,18
Qwen__Qwen3-Embedding-0.6B,0.6401159304892171,18
codefuse-ai__F2LLM-v2-4B,0.6389845399100341,18
voyageai__voyage-3.5,0.6323517952161164,18
ICT-TIME-and-Querit__ICT-TIME-and-Querit-embedding-v1,0.6306435410133321,18
jinaai__jina-embeddings-v5-text-nano,0.6279378338925208,18
infly__inf-retriever-v1-1.5b,0.6244093104572406,18
zeroentropy__zembed-1,0.6241394262432121,18
google__embeddinggemma-300m,0.6163876906045122,18
ICT-TIME-and-Querit__BOOM_4B_v1,0.612188283646398,18
codefuse-ai__F2LLM-v2-1.7B,0.6117157185390902,18
BidirLM__BidirLM-Omni-2.5B-Embedding,0.6038169612937767,18
ibm-granite__granite-embedding-97m-multilingual-r2,0.5952228935637494,18
BidirLM__BidirLM-1.7B-Embedding,0.5922112679365482,18
google__text-multilingual-embedding-002,0.5914202869964968,18
codefuse-ai__F2LLM-v2-0.6B,0.5876305108842197,18
GritLM__GritLM-7B,0.5744762758670253,18
codefuse-ai__F2LLM-v2-330M,0.5629288944338572,18
BidirLM__BidirLM-1B-Embedding,0.559948931779469,18
BidirLM__BidirLM-0.6B-Embedding,0.5585313217160387,18
Snowflake__snowflake-arctic-embed-m-v2.0,0.547613238232941,18
BAAI__bge-m3,0.5433688072053093,18
codefuse-ai__F2LLM-v2-160M,0.5384158374660937,18
intfloat__multilingual-e5-small,0.5079275072670913,18
codefuse-ai__F2LLM-v2-80M,0.5019747912930933,18
BidirLM__BidirLM-270M-Embedding,0.4848418107504034,18
deepvk__USER-bge-m3,0.4316061919721592,18
sentence-transformers__static-similarity-mrl-multilingual-v1,0.41139318518552026,18
sdadas__mmlw-e5-small,0.3087875622560884,18
sdadas__mmlw-e5-base,0.30790054999886085,18
sergeyzh__LaBSE-ru-turbo,0.28606554229621317,18
deepvk__USER-base,0.2723000666099773,18
cointegrated__LaBSE-en-ru,0.2511006496993991,18
sergeyzh__rubert-tiny-turbo,0.21934852411039277,18
cointegrated__rubert-tiny2,0.149242583477737,18
cointegrated__rubert-tiny,0.12534772496823787,18
DeepPavlov__distilrubert-small-cased-conversational,0.11653245284934305,18
DeepPavlov__rubert-base-cased-sentence,0.09433031035069663,18
ai-forever__sbert_large_mt_nlu_ru,0.08829918398841018,18
DeepPavlov__rubert-base-cased,0.08322170823885108,18
ai-forever__sbert_large_nlu_ru,0.08109526616182329,18
deepvk__deberta-v1-base,0.05735107142857143,18
