tier,iso3,lang_name,model,global_rank,local_rank,rank_drop,mteb_agg,lang_avg
curated,ben,Bengali,harrier-0.6b,3,24,21,0.7005492503270024,0.6444366666666667
curated,ita,Italian,harrier-0.6b,3,23,20,0.7005492503270024,0.89164
curated,vie,Vietnamese,harrier-0.6b,3,22,19,0.7005492503270024,0.76572
curated,deu,German,harrier-0.6b,3,22,19,0.7005492503270024,0.7586725
curated,ara,Arabic,harrier-0.6b,3,21,18,0.7005492503270024,0.58887
curated,kor,Korean,harrier-0.6b,3,21,18,0.7005492503270024,0.74392
curated,hin,Hindi,harrier-0.6b,3,21,18,0.7005492503270024,0.6539
curated,fas,Persian,harrier-0.6b,3,20,17,0.7005492503270024,0.73893
curated,tha,Thai,harrier-0.6b,3,20,17,0.7005492503270024,0.79061
curated,zho,Chinese,harrier-0.6b,3,20,17,0.7005492503270024,0.7364766666666668
curated,tam,tam,inf-retriever-v1,7,24,17,0.6582554209116666,0.51561
curated,tel,Telugu,inf-retriever-v1,7,24,17,0.6582554209116666,0.61402
extended,rus,Russian,ibm-granite__granite-embedding-97m-multilingual-r2,28,43,15,0.5952228935637494,0.646115
curated,tam,tam,pplx-embed-4b,5,20,15,0.6880071057326594,0.62675
extended,tam,tam,ibm-granite__granite-embedding-97m-multilingual-r2,28,42,14,0.5952228935637494,0.05247
extended,tha,Thai,ibm-granite__granite-embedding-97m-multilingual-r2,28,41,13,0.5952228935637494,0.58666
curated,fas,Persian,Seed1.6-embed,9,22,13,0.6531624064558841,0.72049
curated,swa,Swahili,inf-retriever-v1,7,20,13,0.6582554209116666,0.596
curated,ind,Indonesian,granite-311m,12,25,13,0.6421271533624284,0.6610499999999999
curated,rus,Russian,granite-311m,12,25,13,0.6421271533624284,0.706555
curated,vie,Vietnamese,granite-311m,12,24,12,0.6421271533624284,0.69712
curated,tha,Thai,Seed1.6-embed,9,21,12,0.6531624064558841,0.780835
extended,hin,Hindi,ibm-granite__granite-embedding-97m-multilingual-r2,28,40,12,0.5952228935637494,0.5043
extended,fas,Persian,ibm-granite__granite-embedding-97m-multilingual-r2,28,40,12,0.5952228935637494,0.65024
curated,tha,Thai,granite-311m,12,24,12,0.6421271533624284,0.7227600000000001
curated,kor,Korean,granite-311m,12,24,12,0.6421271533624284,0.7092499999999999
curated,deu,German,granite-311m,12,24,12,0.6421271533624284,0.7266475
curated,ita,Italian,granite-311m,12,24,12,0.6421271533624284,0.888015
curated,fra,French,inf-retriever-v1,7,19,12,0.6582554209116666,0.7330099999999999
curated,ara,Arabic,granite-311m,12,24,12,0.6421271533624284,0.4939366666666666
curated,spa,Spanish,granite-311m,12,24,12,0.6421271533624284,0.6713733333333334
curated,hin,Hindi,granite-311m,12,24,12,0.6421271533624284,0.626975
curated,ben,Bengali,granite-311m,12,23,11,0.6421271533624284,0.64513
curated,fas,Persian,granite-311m,12,23,11,0.6421271533624284,0.7180533333333333
curated,rus,Russian,Seed1.6-embed,9,20,11,0.6531624064558841,0.76998
curated,tam,tam,pplx-embed-0.6b,11,22,11,0.6479862135690565,0.5563
curated,zho,Chinese,granite-311m,12,23,11,0.6421271533624284,0.6880999999999999
curated,jpn,Japanese,granite-311m,12,23,11,0.6421271533624284,0.7413350000000001
curated,fra,French,Seed1.6-embed,9,20,11,0.6531624064558841,0.729975
curated,ind,Indonesian,Seed1.6-embed,9,19,10,0.6531624064558841,0.713355
curated,jpn,Japanese,Seed1.6-embed,9,19,10,0.6531624064558841,0.787345
curated,fra,French,granite-311m,12,22,10,0.6421271533624284,0.7106600000000001
curated,tel,Telugu,granite-311m,12,21,9,0.6421271533624284,0.7232350000000001
restricted,tha,Thai,harrier-0.6b,2,6,4,0.7005492503270024,0.79061
restricted,ben,Bengali,harrier-0.6b,2,6,4,0.7005492503270024,0.6444366666666667
restricted,vie,Vietnamese,harrier-0.6b,2,6,4,0.7005492503270024,0.76572
restricted,ita,Italian,harrier-0.6b,2,6,4,0.7005492503270024,0.89164
restricted,fas,Persian,harrier-0.6b,2,5,3,0.7005492503270024,0.73893
restricted,deu,German,harrier-0.6b,2,5,3,0.7005492503270024,0.7586725
restricted,hin,Hindi,harrier-0.6b,2,5,3,0.7005492503270024,0.6539
