iso3,lang_name,n_restricted,tau_restricted,ci_low_r,ci_high_r,inv_r,n_curated,tau_curated,ci_low_c,ci_high_c,inv_c,n_extended,tau_extended,ci_low_e,ci_high_e,inv_e
fra,French,7,0.5238,-0.2941,1.0,0.2381,25,0.2533,-0.045,0.5107,0.3733,54,0.6352,0.47,0.7634,0.1824
ind,Indonesian,7,0.5238,-0.2941,1.0,0.2381,25,0.26,-0.0903,0.5548,0.37,54,0.6841,0.5254,0.8068,0.1579
tel,Telugu,7,0.3333,-0.4118,1.0,0.3333,25,0.26,-0.0486,0.5298,0.37,54,0.6548,0.4989,0.7779,0.1726
kor,Korean,7,0.4286,-0.2941,1.0,0.2857,25,0.28,-0.0177,0.5461,0.36,54,0.6939,0.5319,0.8179,0.153
swa,Swahili,7,0.2381,-0.4118,1.0,0.381,25,0.3,0.007,0.5649,0.35,54,0.659,0.4975,0.7841,0.1705
fas,Persian,6,0.2,,,0.4,24,0.3043,-0.0305,0.6,0.3478,53,0.6923,0.528,0.8241,0.1538
tha,Thai,7,0.4286,-0.4286,1.0,0.2857,25,0.32,0.0,0.5972,0.34,54,0.6799,0.5222,0.8026,0.16
jpn,Japanese,7,0.4286,-0.2941,1.0,0.2857,25,0.3333,0.028,0.6056,0.3333,54,0.6897,0.5352,0.8047,0.1551
rus,Russian,7,0.5238,-0.2941,1.0,0.2381,25,0.34,0.0344,0.6,0.33,57,0.6541,0.522,0.7589,0.1729
ita,Italian,6,0.2,,,0.4,24,0.3623,0.0227,0.668,0.3188,53,0.7184,0.559,0.8441,0.1408
zho,Chinese,7,0.5238,-0.2941,1.0,0.2381,25,0.3933,0.1027,0.6345,0.3033,54,0.6911,0.5527,0.7967,0.1544
deu,German,6,0.3333,,,0.3333,24,0.413,0.1161,0.6692,0.2935,53,0.7358,0.5994,0.8449,0.1321
ben,Bengali,6,0.2,,,0.4,24,0.4203,0.1019,0.6806,0.2899,53,0.7228,0.574,0.8399,0.1386
ara,Arabic,7,0.5238,-0.2941,1.0,0.2381,25,0.4533,0.1702,0.6864,0.2733,54,0.7331,0.6014,0.8371,0.1335
hin,Hindi,6,0.3333,,,0.3333,24,0.4638,0.1801,0.7068,0.2681,53,0.7388,0.6071,0.8438,0.1306
spa,Spanish,7,0.619,-0.2,1.0,0.1905,25,0.4867,0.2329,0.7004,0.2567,28,0.9206,0.8466,0.9778,0.0397
vie,Vietnamese,7,0.5238,-0.3333,1.0,0.2381,25,0.5867,0.2962,0.8207,0.2067,54,0.7484,0.6217,0.849,0.1258
