iso3,lang_name,n_models,n_tasks,kendall_tau,tau_ci_low,tau_ci_high,p_value,p_value_fdr,reject_h0_fdr,inversion_rate,regret_1,regret_3,regret_5,top1_loss
ita,Italian,6,2,0.2,,,0.7194444444444444,0.7194444444444444,False,0.4,0.0,0.0,0.0,0.0
ben,Bengali,6,3,0.2,,,0.7194444444444444,0.7194444444444444,False,0.4,0.0,0.0,0.0,0.0
fas,Persian,6,3,0.2,,,0.7194444444444444,0.7194444444444444,False,0.4,0.0007366666666666077,0.0007366666666666077,0.0,0.0007366666666666077
swa,Swahili,7,2,0.23809523809523814,-0.411764705882353,1.0,0.5619047619047619,0.682312925170068,False,0.38095238095238093,0.06201000000000001,0.06201000000000001,0.0,0.06201000000000001
deu,German,6,4,0.3333333333333333,,,0.46944444444444444,0.6138888888888889,False,0.3333333333333333,0.0,0.0,0.0,0.0
hin,Hindi,6,4,0.3333333333333333,,,0.46944444444444444,0.6138888888888889,False,0.3333333333333333,0.0,0.0,0.0,0.0
tel,Telugu,7,2,0.33333333333333337,-0.411764705882353,1.0,0.3813492063492063,0.5893578643578643,False,0.3333333333333333,0.0,0.0,0.0,0.0
kor,Korean,7,2,0.4285714285714286,-0.29411764705882354,1.0,0.2388888888888889,0.40611111111111114,False,0.2857142857142857,0.006014999999999993,0.006014999999999993,0.0,0.006014999999999993
tha,Thai,7,2,0.4285714285714286,-0.4285714285714286,1.0,0.2388888888888889,0.40611111111111114,False,0.2857142857142857,0.0,0.0,0.0,0.0
jpn,Japanese,7,2,0.4285714285714286,-0.29411764705882354,1.0,0.2388888888888889,0.40611111111111114,False,0.2857142857142857,0.003650000000000153,0.003650000000000153,0.0,0.003650000000000153
zho,Chinese,7,3,0.5238095238095238,-0.29411764705882354,1.0,0.1361111111111111,0.33055555555555555,False,0.23809523809523808,0.0,0.0,0.0,0.0
rus,Russian,7,2,0.5238095238095238,-0.29411764705882354,1.0,0.1361111111111111,0.33055555555555555,False,0.23809523809523808,0.0,0.0,0.0,0.0
vie,Vietnamese,7,2,0.5238095238095238,-0.33333333333333337,1.0,0.1361111111111111,0.33055555555555555,False,0.23809523809523808,0.0,0.0,0.0,0.0
fra,French,7,2,0.5238095238095238,-0.29411764705882354,1.0,0.1361111111111111,0.33055555555555555,False,0.23809523809523808,0.0,0.0,0.0,0.0
ind,Indonesian,7,2,0.5238095238095238,-0.29411764705882354,1.0,0.1361111111111111,0.33055555555555555,False,0.23809523809523808,0.0,0.0,0.0,0.0
ara,Arabic,7,3,0.5238095238095238,-0.29411764705882354,1.0,0.1361111111111111,0.33055555555555555,False,0.23809523809523808,0.0,0.0,0.0,0.0
spa,Spanish,7,3,0.6190476190476191,-0.2,1.0,0.06904761904761905,0.33055555555555555,False,0.19047619047619047,0.0,0.0,0.0,0.0
