iso3,lang_name,n_models,n_tasks,kendall_tau,tau_ci_low,tau_ci_high,p_value,p_value_fdr,reject_h0_fdr,inversion_rate,regret_1,regret_3,regret_5,top1_loss
fra,French,25,2,0.25333333333333324,-0.04498269896193771,0.5106772184743119,0.07972026188701116,0.07972026188701116,False,0.37333333333333335,0.04110999999999998,0.0,0.0,0.04110999999999998
ind,Indonesian,25,2,0.25999999999999995,-0.0902777777777778,0.5547703180212014,0.07183422315251489,0.07632386209954707,False,0.37,0.03742500000000004,0.0,0.0,0.03742500000000004
tel,Telugu,25,2,0.25999999999999995,-0.04861111111111112,0.5298245614035086,0.07183422315251489,0.07632386209954707,False,0.37,0.03212000000000004,0.0,0.0,0.03212000000000004
kor,Korean,25,2,0.2799999999999999,-0.0176678445229682,0.546099290780142,0.05185823522532831,0.06297071420218438,False,0.36,0.052709999999999924,0.006014999999999993,0.006014999999999993,0.052709999999999924
swa,Swahili,25,2,0.29999999999999993,0.00704225352112676,0.5649122807017543,0.03667379415299802,0.050374336688191586,False,0.35,0.0012200000000001099,0.0012200000000001099,0.0012200000000001099,0.0012200000000001099
fas,Persian,24,3,0.3043478260869565,-0.030534351145038163,0.6000000000000001,0.03852155158508768,0.050374336688191586,False,0.34782608695652173,0.02354333333333336,0.0007366666666666077,0.0007366666666666077,0.02354333333333336
tha,Thai,25,2,0.3199999999999999,0.0,0.5971743718099726,0.025387066467633498,0.03923455726816086,True,0.34,0.03553499999999998,0.0,0.0,0.03553499999999998
jpn,Japanese,25,2,0.33333333333333326,0.02797202797202797,0.6056338028169014,0.019623905415578614,0.03336063920648364,True,0.3333333333333333,0.0548550000000001,0.003650000000000153,0.003650000000000153,0.0548550000000001
rus,Russian,25,2,0.3399999999999999,0.034444865479348274,0.5999999999999999,0.01718821731506558,0.03246663270623498,True,0.33,0.04410000000000003,0.0,0.0,0.04410000000000003
ita,Italian,24,2,0.36231884057971014,0.022727272727272724,0.6679841495630965,0.01290450360123228,0.027422070152618595,True,0.3188405797101449,0.012584999999999957,0.0,0.0,0.012584999999999957
zho,Chinese,25,3,0.39333333333333326,0.10271509252583516,0.6344827586206895,0.005412547327037236,0.013144757794233288,True,0.30333333333333334,0.033916666666666706,0.0,0.0,0.033916666666666706
deu,German,24,4,0.41304347826086957,0.1161048689138577,0.6692307692307693,0.004233454362761548,0.011994787361157718,True,0.29347826086956524,0.030252500000000015,0.0,0.0,0.030252500000000015
ben,Bengali,24,3,0.42028985507246375,0.1018867924528302,0.6806165021970378,0.0035635597431467976,0.011994787361157718,True,0.2898550724637681,0.026450000000000085,0.0,0.0,0.026450000000000085
ara,Arabic,25,3,0.45333333333333325,0.17019932406482835,0.6864216895854773,0.00118256899300539,0.005025918220272908,True,0.2733333333333333,0.03924000000000005,0.0,0.0,0.03924000000000005
hin,Hindi,24,4,0.463768115942029,0.18007662835249044,0.7067854913964752,0.0011772109119610658,0.005025918220272908,True,0.26811594202898553,0.024124999999999952,0.0,0.0,0.024124999999999952
spa,Spanish,25,3,0.4866666666666665,0.23286465367547757,0.7003664116458143,0.0004534508545343273,0.003854332263541782,True,0.25666666666666665,0.04050333333333345,0.0,0.0,0.04050333333333345
vie,Vietnamese,25,2,0.5866666666666666,0.2961574323992737,0.8206896551724137,1.4271783082036028e-05,0.0002426203123946125,True,0.20666666666666667,0.026855000000000073,0.0,0.0,0.026855000000000073
