iso3,lang_name,n_models,n_tasks,kendall_tau,tau_ci_low,tau_ci_high,p_value,p_value_fdr,reject_h0_fdr,inversion_rate,regret_1,regret_3,regret_5,top1_loss
fra,French,54,2,0.6352201257861635,0.47,0.7634450965893335,1.1893019350453537e-11,1.1893019350453537e-11,True,0.18238993710691823,0.036355000000000026,0.0,0.0,0.036355000000000026
rus,Russian,57,2,0.6541353383458648,0.5220447284345049,0.7589285714285715,6.63574364134008e-13,8.057688707341526e-13,True,0.17293233082706766,0.031770000000000076,0.0,0.0,0.031770000000000076
tel,Telugu,54,2,0.654786862334032,0.49892918246786083,0.7779359685527536,2.741105435987657e-12,2.9124245257368855e-12,True,0.17260656883298392,0.035535000000000094,0.0,0.0,0.035535000000000094
swa,Swahili,54,2,0.6589797344514325,0.49749301475746865,0.7840909090909091,1.9903410128032e-12,2.2557198145102935e-12,True,0.17051013277428373,0.05125000000000002,0.037470000000000114,0.037470000000000114,0.05125000000000002
tha,Thai,54,2,0.6799440950384346,0.5222233734152144,0.8025608033741632,3.9004632154615066e-13,5.100605743295817e-13,True,0.16002795248078266,0.028124999999999956,0.0,0.0,0.028124999999999956
ind,Indonesian,54,2,0.684136967155835,0.5253734594051245,0.8068228523620767,2.7989085055632265e-13,3.9651203828812375e-13,True,0.15793151642208245,0.026985000000000037,0.0,0.0,0.026985000000000037
jpn,Japanese,54,2,0.6897274633123689,0.5351779575451987,0.804704205274412,1.7926188989213763e-13,3.04745212816634e-13,True,0.15513626834381553,0.03242500000000004,0.003650000000000153,0.003650000000000153,0.03242500000000004
zho,Chinese,54,3,0.6911250873515024,0.5527060931899642,0.7967078148474317,1.6027844254746532e-13,3.027481692563234e-13,True,0.15443745632424877,0.045399999999999996,0.0,0.0,0.045399999999999996
fas,Persian,53,3,0.6923076923076924,0.5280189999408716,0.8240946045824096,2.5197439657817504e-13,3.8941497652990684e-13,True,0.15384615384615385,0.023613333333333375,0.0007366666666666077,0.0007366666666666077,0.023613333333333375
kor,Korean,54,2,0.6939203354297693,0.5319133705965672,0.8179264215399328,1.2804544948726386e-13,2.720965801604357e-13,True,0.1530398322851153,0.03434499999999996,0.006014999999999993,0.006014999999999993,0.03434499999999996
ita,Italian,53,2,0.7184325108853411,0.5590194696835314,0.8440813532402938,3.101885175296582e-14,7.533149711434556e-14,True,0.14078374455732948,0.014844999999999997,0.0,0.0,0.014844999999999997
ben,Bengali,53,3,0.7227866473149492,0.5739536199095023,0.8398813936249074,2.171880160285815e-14,6.153660454143141e-14,True,0.1386066763425254,0.03205000000000002,0.014076666666666626,0.014076666666666626,0.03205000000000002
ara,Arabic,54,3,0.7330538085255065,0.6014335637480799,0.8371428571428571,5.037917065777045e-15,2.4542166797451392e-14,True,0.1334730957372467,0.024900000000000033,0.0019166666666666776,0.0019166666666666776,0.024900000000000033
deu,German,53,4,0.7358490566037736,0.5994041504812998,0.8449068497331946,7.362614723428013e-15,2.5032890059655245e-14,True,0.1320754716981132,0.025885000000000047,0.0,0.0,0.025885000000000047
hin,Hindi,53,4,0.7387518142235124,0.6071421952769247,0.8437730287398674,5.774627481753269e-15,2.4542166797451392e-14,True,0.13062409288824384,0.03410250000000015,0.006667500000000048,0.006667500000000048,0.03410250000000015
vie,Vietnamese,54,2,0.7484276729559748,0.6216920312022024,0.8490082187450609,1.3483996274674935e-15,1.1461396833473694e-14,True,0.12578616352201258,0.03866000000000003,0.0,0.0,0.03866000000000003
spa,Spanish,28,4,0.9206349206349207,0.8465753424657535,0.9778393351800553,5.349849693983128e-19,9.094744479771317e-18,True,0.03968253968253968,0.0,0.0,0.0,0.0
